component,observations,rmse,mae,bias,r_squared,correlation
Credit loss ratio,497,0.005962158127733252,0.004283240606304075,-7.214995209187065e-5,0.956018148713109,0.9777665881365613
PPNR ratio,497,0.009331397562700851,0.00653637120609672,-7.063065214444251e-6,0.9199793987361308,0.9591609560691492
CET1 capital depletion,497,0.7891499759302517,0.569840886150803,3.9913950679243843e-4,0.8378545203201564,0.915345086065799
CET1 minimum ratio,497,0.8459968851044002,0.5873176405131468,0.014543516428821172,0.9688421257994689,0.9843205770660176
