scenario_code,scenario_label,observations,banks,years,cet1_rmse,cet1_mae,cet1_bias,cet1_r2,cet1_correlation,high_precision_share,acceptable_or_better_share,high_model_risk_share,moderate_or_high_model_risk_share,threshold_4_5_accuracy,threshold_7_accuracy
2,Supervisory Adverse,124,44,4,0.7506247148292755,0.5562665405253365,-0.0012016129032319809,0.9802320508315406,0.9902208930044328,0.5887096774193549,0.8064516129032258,0.03225806451612903,0.1935483870967742,1,1
3,Supervisory Severely Adverse,339,56,11,0.8694624459546453,0.5940627733590018,0.013652293997417552,0.9649566034109226,0.9823264448229333,0.56047197640118,0.8230088495575221,0.08259587020648967,0.2153392330383481,1,0.9410029498525073
30,Supervisory Alternative Severe,34,34,1,0.9325781931114512,0.6333098865056069,0.08085294117648054,0.9317912648281833,0.9657111493260423,0.5588235294117647,0.8235294117647058,0.08823529411764706,0.17647058823529413,1,0.9411764705882353
