component,observations,actual_mean,predicted_mean,bias,rmse,mae,r2_outcome_prediction,correlation,abs_error_p50,abs_error_p75,abs_error_p90,abs_error_p95,abs_error_max
Credit loss ratio,497,0.04196489851175017,0.0418927485596583,-7.214995209187065e-5,0.005962158127733252,0.004283240606304075,0.956018148713109,0.9777665881365613,0.0029642082690191987,0.005716541597704721,0.009916689112271556,0.012835672228432932,0.025344313849922334
PPNR ratio,497,0.045016474290534375,0.04500941122531993,-7.063065214444251e-6,0.009331397562700851,0.00653637120609672,0.9199793987361308,0.9591609560691492,0.004718598352954136,0.00871111158532965,0.014359023265136085,0.020022798128937508,0.04853346912388973
CET1 capital depletion,497,2.6671498993963785,2.6675490389031706,3.9913950679243843e-4,0.7891499759302517,0.569840886150803,0.8378545203201564,0.915345086065799,0.40550366103381874,0.7903348755711217,1.3253411569831886,1.5812907091187778,4.465252648433868
CET1 minimum ratio,497,10.68158953722334,10.696133053652161,0.014543516428821172,0.8459968851044002,0.5873176405131468,0.9688421257994689,0.9843205770660176,0.4124643132404433,0.7916901756015147,1.3427819916011503,1.6162958257475706,5.0721321569668625
