bank_rssd_id,bank_name,observations,rmse_credit_loss_ratio,rmse_ppnr_ratio,rmse_capital_depletion,rmse_cet1_min_ratio
2816906,DB USA Corporation,19,0.004835237854533976,0.022328030754445612,1.3060522332189164,2.4467401147775636
1111435,State Street Corporation,23,0.006694965487209515,0.007688213407613123,1.3161166817146088,1.3161166817146088
3232316,HSBC North America Holdings Inc.,21,0.011761350599906859,0.008934995472226051,1.2661791461618115,1.2661791461618117
1574834,"Credit Suisse Holdings (USA), Inc.",16,0.006685641242978748,0.020512219960851445,1.226211703513489,1.2262117035134887
2380443,"The Goldman Sachs Group, Inc.",23,0.0035770418607347864,0.013024267541780942,1.2196584729417057,1.2196584729417057
4846998,UBS Americas Holding LLC,19,0.009124165951926335,0.012220422567349357,1.1354800066992459,1.1402962535100805
1275216,American Express Company,13,0.009250353984872865,0.008596478995633842,0.9927477890233773,0.9927477890233773
2162966,Morgan Stanley,23,0.004618748408906881,0.016790109733214396,0.9823192757086867,0.9823192757086869
3846375,Discover Financial Services,11,0.01334442152919668,0.005743020015502316,0.9280717902121294,0.9280717902121295
1032473,Deutsche Bank Trust Corporation,4,0.0018618844895385807,0.004393385104616392,0.8973633940727217,0.8973633940727226
3587146,The Bank of New York Mellon Corporation,23,0.008553535408755874,0.008505207247854286,0.881690346936036,0.8906887911325911
1199611,Northern Trust Corporation,23,0.004795329032599596,0.0068767706662300225,0.793317560480073,0.7966788084114055
1245415,BMO Financial Corp.,21,0.0035412302955676665,0.007094768957091854,0.7898732865452549,0.789873286545255
3606542,TD Group US Holdings LLC,23,0.005311365161639169,0.010903113336194425,0.75317940798219,0.75317940798219
1026632,The Charles Schwab Corporation,5,0.0023337067232276193,0.023052446705653432,0.9753853788189247,0.7406714678573344
1036967,CIT Group Inc.,2,7.656411392298144e-4,9.350664691178887e-4,0.7377642823518366,0.7377642823518364
5006575,Barclays US LLC,19,0.008179556320532466,0.007258975728075471,0.7287634596715461,0.728763459671546
3981856,"Santander Holdings USA, Inc.",12,0.007223053354259638,0.004591146133153826,0.7253667611641752,0.7253667611641751
1951350,Citigroup Inc.,23,0.0036194011610284,0.007558583055791084,0.7209101197030321,0.7209101197030324
1068191,Huntington Bancshares Incorporated,12,0.0029175926355343375,0.006355862973582886,0.6980343154189403,0.6980343154189402
1378434,MUFG Americas Holdings Corporation,16,0.004959075761925011,0.005302081292577916,0.6521853613083313,0.6521853613083314
1068025,KeyCorp,12,0.0037860640538403094,0.004764164080838049,0.5886617346757701,0.5886617346757702
NA,35 participating firms,2,7.419442181060536e-4,0.00429796295370178,0.5873328721645003,0.5873328721645006
1132449,"Citizens Financial Group, Inc.",13,0.0033721494147046275,0.005487821666796832,0.5667396222423055,0.5667396222423053
1069778,"The PNC Financial Services Group, Inc.",23,0.0031284155312484713,0.005340956842190431,0.5661162579140053,0.5661162579140053
2277860,Capital One Financial Corporation,23,0.016585861345001153,0.010415772056272301,0.5611542833133983,0.5611542833133982
1575569,"BNP Paribas USA, Inc.",6,0.0033997258749062574,0.0048467515423200455,0.5475857545172835,0.5475857545172835
1039502,JPMorgan Chase & Co.,23,0.004107832292925187,0.003862878185524586,0.5187752071968865,0.5187752071968867
1027004,Zions Bancorporation,4,0.004115112751152913,0.006672663565950392,0.4476225025790168,0.44762250257901687
1037003,M&T Bank Corporation,14,0.011227633737775775,0.0067469436385200615,0.40774253364141716,0.4077425336414171
1120754,Wells Fargo & Company,23,0.0029737039692897195,0.00981982648190591,0.4019359163380641,0.40193591633806397
1562859,Ally Financial Inc.,12,0.003525796817603311,0.006684526579648902,0.4000112881785643,0.4000112881785643
1074156,BB&T Corporation,6,0.0018506939908711786,0.004405075950896568,0.381453776863693,0.38145377686369286
1131787,"SunTrust Banks, Inc.",6,0.001194218719084195,0.004354322556939132,0.3726194710901414,0.37261947109014115
5280254,RBC US Group Holdings LLC,15,0.004550629469638716,0.003989288719074157,0.36470592421484566,0.3647059242148456
1119794,U.S. Bancorp,23,0.005260740643306791,0.007861316981312242,0.35027894186188985,0.35027894186188985
1073757,Bank of America Corporation,23,0.004291302184190761,0.00435864033971275,0.3254021167991072,0.325402116799107
NA,34 participating bank holding companies,2,0.0010021519518195153,0.003150536461115395,0.32463294726510594,0.3246329472651057
1199844,Comerica Incorporated,4,6.706882388888907e-4,0.001786568717637325,0.2928862293021492,0.2928862293021497
3242838,Regions Financial Corporation,19,0.0032446868770928334,0.006160188315399916,0.24735406316847902,0.24735406316847894
