projection_block,projection_variable,observations,non_missing_observations,missing_share,mean_value,sd_value,min_value,max_value
CET1 capital ratio,integrated_predicted_cet1_gap,658,658,0,0.026121936184272488,0.8491029252881465,-2.603437608198595,5.072132156966866
CET1 capital ratio,integrated_predicted_cet1_min_ratio,658,658,0,10.908492756852965,4.514489454971119,5.557268147756542,61.155495208016724
CET1 capital ratio,observed_cet1_min_ratio,658,658,0,10.882370820668694,4.57677538333125,4.8,60.7
Capital depletion,actual_capital_depletion,658,658,0,2.7451398176291795,1.9827175941234914,-0.5509999999999998,9.251
Capital depletion,predicted_capital_depletion,658,658,0,2.7433309513537214,1.817155775543631,-2.303853273398527,8.724971154918215
Capital depletion,residual_capital_depletion,658,658,0,0.00180886627545794,0.7745075636734561,-2.603437608198595,4.465252648433868
Credit losses,actual_credit_loss_ratio,658,658,0,0.04145792838526545,0.027644197671280183,0.00164395095511235,0.15634525205158237
Credit losses,predicted_credit_loss_amount,658,658,0,24.317056781618813,66.61569156926507,-1.438879693987807,624.9000000000001
Credit losses,predicted_credit_loss_ratio,658,658,0,0.041784905827724574,0.026625226938297518,-0.01469286386902134,0.1563452520515823
Credit losses,residual_credit_loss_ratio,658,658,0,-3.2697744245912435e-4,0.006536891714998056,-0.02181059677945038,0.0253443138499223
PPNR,actual_ppnr_ratio,658,658,0,0.04197860703318695,0.030569849440036285,-0.01092412612187057,0.16941244239631306
PPNR,predicted_ppnr_amount,658,658,0,25.12358424719328,69.96645419780694,-1.801489663891765,719.0000000000005
PPNR,predicted_ppnr_ratio,658,658,0,0.042010616243627,0.029603328366120438,-0.01714071992285219,0.17091873090289225
PPNR,residual_ppnr_ratio,658,658,0,-3.200921044005454e-5,0.009436587084900465,-0.03941203578277895,0.04853346912388972
Stress margin,actual_net_stress_margin,658,658,0,5.20678647921496e-4,0.027196077361708294,-0.06719503790489317,0.13636363636363635
Stress margin,predicted_net_stress_margin,658,658,0,2.2571041590242617e-4,0.02458416959675391,-0.05926231313623561,0.09405980945302604
