component,observations,rmse,mae,r2_outcome_prediction
credit_loss_ratio,497,0.005962158127733252,0.004283240606304075,0.956018148713109
ppnr_ratio,497,0.009331397562700851,0.00653637120609672,0.9199793987361308
capital_depletion,497,0.7891499759302517,0.569840886150803,0.8378545203201564
cet1_min_ratio,497,0.8459968851044002,0.5873176405131468,0.9688421257994689
