bank_rssd_id,bank_name,exercise_year,scenario_code,scenario_label,ppnr_amount,total_loan_losses_amount,securities_losses_amount,trading_counterparty_losses_amount,other_losses_amount,total_observed_losses_amount,provision_amount,pretax_net_income_amount,implied_pretax_from_components,pretax_identity_gap
1199844,Comerica Incorporated,2013,3,Supervisory Severely Adverse,1.1,2.1,0,0,0,2.1,2.3,-1.2,-1.1999999999999997,-2.220446049250313e-16
3846375,Discover Financial Services,2013,2,Supervisory Adverse,12.9,8.1,0,0,0,8.1,9.7,3.2,3.200000000000001,-8.881784197001252e-16
3846375,Discover Financial Services,2013,3,Supervisory Severely Adverse,12,9.5,0,0,0,9.5,11.4,0.6,0.5999999999999996,3.3306690738754696e-16
1070345,Fifth Third Bancorp,2013,2,Supervisory Adverse,6.4,3.6,0.1,0,0,3.7,2.8,3.5,3.5000000000000004,-4.440892098500626e-16
1070345,Fifth Third Bancorp,2013,3,Supervisory Severely Adverse,4.7,4.8,0.1,0,0,4.8999999999999995,4.5,0.1,0.10000000000000017,-1.6653345369377348e-16
3232316,HSBC North America Holdings Inc.,2013,2,Supervisory Adverse,3,7.7,0,0,0.5,8.2,5.6,-3.2,-3.0999999999999996,-0.10000000000000053
3232316,HSBC North America Holdings Inc.,2013,3,Supervisory Severely Adverse,-1.1,10,0.1,0,1.1,11.2,8.5,-10.7,-10.799999999999999,0.09999999999999964
1068191,Huntington Bancshares Incorporated,2013,2,Supervisory Adverse,2.3,1.6,0,0,0.3,1.9000000000000001,1.6,0.4,0.39999999999999974,2.7755575615628914e-16
1068191,Huntington Bancshares Incorporated,2013,3,Supervisory Severely Adverse,1.5,2.1,0,0,0.2,2.3000000000000003,2.3,-1,-0.9999999999999998,-2.220446049250313e-16
1039502,JPMorgan Chase & Co.,2013,2,Supervisory Adverse,68.1,37.6,1.5,12.7,1.9,53.699999999999996,36.5,15.6,15.499999999999995,0.10000000000000497
1039502,JPMorgan Chase & Co.,2013,3,Supervisory Severely Adverse,48.8,54.2,1.3,24.2,1.8,81.5,59.1,-37.6,-37.6,0
1068025,KeyCorp,2013,2,Supervisory Adverse,3.8,2.1,0,0,0.3,2.4,2.1,1.4,1.3999999999999997,2.220446049250313e-16
1068025,KeyCorp,2013,3,Supervisory Severely Adverse,2.5,2.9,0,0,0.4,3.3,3.1,-1,-1,0
1037003,M&T Bank Corporation,2013,2,Supervisory Adverse,5.3,2.9,0,0,0.1,3,3.3,1.9,1.9,0
1037003,M&T Bank Corporation,2013,3,Supervisory Severely Adverse,3.9,4,0,0,0.1,4.1,4.8,-0.9,-0.9999999999999999,0.09999999999999987
2162966,Morgan Stanley,2013,2,Supervisory Adverse,1.5,1.2,0,8.6,2.2,12,1.5,-10.7,-10.8,0.10000000000000142
2162966,Morgan Stanley,2013,3,Supervisory Severely Adverse,0.4,1.7,0,13.3,2.1,17.1,2.2,-17.3,-17.200000000000003,-0.09999999999999787
1199611,Northern Trust Corporation,2013,2,Supervisory Adverse,3.3,1.7,0,0,0,1.7,2,1.3,1.2999999999999998,2.220446049250313e-16
1199611,Northern Trust Corporation,2013,3,Supervisory Severely Adverse,2.7,2.4,0,0,0,2.4,3,-0.4,-0.2999999999999998,-0.1000000000000002
1132449,"RBS Citizens Financial Group, Inc.",2013,2,Supervisory Adverse,5,3.7,0,0,0.1,3.8000000000000003,4,0.8,0.9,-0.09999999999999998
1132449,"RBS Citizens Financial Group, Inc.",2013,3,Supervisory Severely Adverse,3.2,4.9,0.1,0,0.2,5.2,5.7,-2.6,-2.8000000000000003,0.20000000000000018
3242838,Regions Financial Corporation,2013,2,Supervisory Adverse,6,3.8,0,0,0.1,3.9,3.6,2.4,2.3,0.10000000000000009
3242838,Regions Financial Corporation,2013,3,Supervisory Severely Adverse,4.3,5.2,0,0,0.1,5.3,5.6,-1.4,-1.4,0
3981856,"Santander Holdings USA, Inc.",2013,2,Supervisory Adverse,6.7,4.9,0,0,0,4.9,5.9,0.8,0.7999999999999998,2.220446049250313e-16
3981856,"Santander Holdings USA, Inc.",2013,3,Supervisory Severely Adverse,5.6,6.4,0,0,0,6.4,8,-2.4,-2.4000000000000004,4.440892098500626e-16
1111435,State Street Corporation,2013,2,Supervisory Adverse,7.5,0.3,0.3,0.9,0,1.5,0.4,5.9,5.8999999999999995,8.881784197001252e-16
1111435,State Street Corporation,2013,3,Supervisory Severely Adverse,4.8,0.5,0.4,1.7,0,2.6,0.6,2.1,2.1000000000000005,-4.440892098500626e-16
1131787,"SunTrust Banks, Inc.",2013,2,Supervisory Adverse,8.5,4.1,0,0,0.5,4.6,3.8,4.2,4.2,0
1131787,"SunTrust Banks, Inc.",2013,3,Supervisory Severely Adverse,5.8,5.7,0,0,0.9,6.6000000000000005,6.1,-1.2,-1.1999999999999997,-2.220446049250313e-16
3587146,The Bank of New York Mellon Corporation,2013,2,Supervisory Adverse,11.3,0.6,0.2,0.6,0.1,1.5,0.4,10,10.000000000000002,-1.7763568394002505e-15
3587146,The Bank of New York Mellon Corporation,2013,3,Supervisory Severely Adverse,8.3,0.8,0.2,1.3,0.1,2.4,0.8,6,5.900000000000001,0.09999999999999876
2380443,"The Goldman Sachs Group, Inc.",2013,2,Supervisory Adverse,4.7,1.1,0,13.8,4.9,19.8,1.4,-15.4,-15.4,0
2380443,"The Goldman Sachs Group, Inc.",2013,3,Supervisory Severely Adverse,4.9,1.6,0,19.8,6,27.400000000000002,2.1,-23,-23,0
1069778,"The PNC Financial Services Group, Inc.",2013,2,Supervisory Adverse,15.3,6.9,0.2,0,0.3,7.4,6.6,8.2,8.200000000000001,-1.7763568394002505e-15
1069778,"The PNC Financial Services Group, Inc.",2013,3,Supervisory Severely Adverse,10.8,10.1,0.3,0,0.4,10.8,11.3,-1.1,-1.2000000000000002,0.10000000000000009
1119794,U.S. Bancorp,2013,2,Supervisory Adverse,26.6,11.3,0,0,0.4,11.700000000000001,11.2,15,15.000000000000002,-1.7763568394002505e-15
1119794,U.S. Bancorp,2013,3,Supervisory Severely Adverse,20.6,15.6,0,0,0.4,16,17.1,3.1,3.1,0
1378434,UnionBanCal Corporation,2013,2,Supervisory Adverse,2.3,2,0.4,0,0,2.4,2.2,-0.3,-0.3000000000000004,3.885780586188048e-16
1378434,UnionBanCal Corporation,2013,3,Supervisory Severely Adverse,0.8,3.4,0.4,0,0,3.8,4.1,-3.7,-3.6999999999999997,-4.440892098500626e-16
1120754,Wells Fargo & Company,2013,2,Supervisory Adverse,71.7,36.3,0.9,3.3,0.9,41.39999999999999,36.9,29.7,29.700000000000006,-7.105427357601002e-15
1120754,Wells Fargo & Company,2013,3,Supervisory Severely Adverse,50.7,55.1,1.2,5.9,2.5,64.7,61.6,-20.5,-20.5,0
1027004,Zions Bancorporation,2013,2,Supervisory Adverse,0.7,1.7,0.3,0,0,2,1.6,-1.1,-1.2000000000000002,0.10000000000000009
1027004,Zions Bancorporation,2013,3,Supervisory Severely Adverse,0.2,2.5,0.3,0,0,2.8,2.8,-2.9,-2.8999999999999995,-4.440892098500626e-16
NA,31 participating bank holding companies,2014,2,Supervisory Adverse,501.3,234.9,8.6,54.9,16,314.4,244,177.8,177.8,0
NA,31 participating bank holding companies,2014,3,Supervisory Severely Adverse,309.6,340.3,17.8,102.7,29.3,490.1,381.9,-222.2,-222.09999999999997,-0.10000000000002274
1562859,Ally Financial Inc.,2014,2,Supervisory Adverse,4.5,3.5,0.2,0,0,3.7,4.1,0.1,0.20000000000000034,-0.10000000000000034
1562859,Ally Financial Inc.,2014,3,Supervisory Severely Adverse,4.1,5.1,0.6,0,0,5.699999999999999,6,-2.5,-2.5000000000000004,4.440892098500626e-16
1275216,American Express Company,2014,2,Supervisory Adverse,25.9,8.1,0,0,0,8.1,10.8,15.1,15.099999999999998,1.7763568394002505e-15
1275216,American Express Company,2014,3,Supervisory Severely Adverse,23.7,10.5,0,0,0,10.5,13.7,10,10,0
1074156,BB&T Corporation,2014,2,Supervisory Adverse,9.7,3.9,0,0,0,3.9,4.5,5.2,5.199999999999999,8.881784197001252e-16
