bank_rssd_id,bank_name,observations,years,scenarios,mean_ppnr_ratio,max_ppnr_ratio,min_ppnr_ratio
4504654,Synchrony Financial,1,1,1,0.16941244239631306,0.16941244239631306,0.16941244239631306
3846375,Discover Financial Services,11,7,3,0.16295625467148667,0.16941244239631306,0.14994487320837926
1275216,American Express Company,13,9,3,0.14663794171379677,0.161526599845798,0.12252252252252252
2277860,Capital One Financial Corporation,17,11,3,0.09887843222720738,0.12661195779601406,0.07960027567195038
1026632,The Charles Schwab Corporation,5,5,1,0.08983852107738183,0.14646464646464646,0.05928237129485179
3981856,"Santander Holdings USA, Inc.",12,8,3,0.06562917275535435,0.08016032064128256,0.05400696864111498
3587146,The Bank of New York Mellon Corporation,17,11,3,0.05931560199540522,0.08801624915368991,0.04350607805502238
NA,32 participating banks,1,1,1,0.0571374079165905,0.0571374079165905,0.0571374079165905
5006575,Barclays US LLC,13,9,3,0.05625366224930552,0.08406647116324535,0.0395371263259402
1119794,U.S. Bancorp,17,11,3,0.04959797065782092,0.07205623901581723,0.03595059550066167
1074156,BB&T Corporation,6,3,2,0.04938334132201315,0.05678591709256105,0.04201680672268908
NA,34 participating bank holding companies,2,1,2,0.04917755225595928,0.05550367869639724,0.04285142581552133
NA,35 participating firms,2,1,2,0.04773614208346608,0.04901043325899969,0.04646185090793246
1032473,Deutsche Bank Trust Corporation,4,2,2,0.04675648137665572,0.0743801652892562,0.0228310502283105
1039502,JPMorgan Chase & Co.,17,11,3,0.045428633060072346,0.0598476055911591,0.03258282994691561
NA,22 participating banks,1,1,1,0.04527781261758435,0.04527781261758435,0.04527781261758435
NA,33 participating bank holding companies,2,1,2,0.04473116486540005,0.04948359058269325,0.03997873914810684
1111435,State Street Corporation,17,11,3,0.04359792767525656,0.06106106106106105,0.03023983315954118
NA,18 participating firms,2,1,2,0.043498135010604844,0.04716107169848119,0.0398351983227285
4846998,UBS Americas Holding LLC,13,9,3,0.04322702519148954,0.06737120211360634,-0.0054719562243502
1037003,M&T Bank Corporation,14,10,3,0.042754865231064594,0.05561277033985582,0.03273495248152059
1951350,Citigroup Inc.,17,11,3,0.04246943861796604,0.05620172245405309,0.01924759405074365
1120754,Wells Fargo & Company,17,11,3,0.04232308235044859,0.06805742841278654,0.01989120727449866
1199611,Northern Trust Corporation,17,11,3,0.040711079918519626,0.05830903790087464,0.02762430939226519
3242838,Regions Financial Corporation,13,8,3,0.039633462180754114,0.05649717514124294,0.0293560606060606
1070345,Fifth Third Bancorp,12,8,3,0.03934163251752127,0.04898446833930704,0.03135593220338983
1068191,Huntington Bancshares Incorporated,12,8,3,0.039335736691179034,0.04794520547945205,0.02894135567402894
1025608,BancWest Corporation,2,1,2,0.039256198347107446,0.04132231404958678,0.03719008264462811
1562859,Ally Financial Inc.,12,8,3,0.03802199798518394,0.05039267015706806,0.02700729927007299
NA,33 participating firms,3,2,2,0.03740393207431375,0.04146303772527961,0.03499349115278916
1069778,"The PNC Financial Services Group, Inc.",17,11,3,0.036921611478791985,0.05224625623960066,0.02546296296296296
NA,33 participating banks,1,1,1,0.03686602956440817,0.03686602956440817,0.03686602956440817
NA,31 participating banks,1,1,1,0.03603760749358963,0.03603760749358963,0.03603760749358963
1131787,"SunTrust Banks, Inc.",6,3,2,0.035940651338879664,0.04411764705882352,0.03092783505154639
1075612,"First Citizens Bancshares, Inc.",1,1,1,0.03573391973611874,0.03573391973611874,0.03573391973611874
NA,23 participating banks,1,1,1,0.03458835888643323,0.03458835888643323,0.03458835888643323
5005998,BancWest Corporation,2,1,2,0.03433208489388265,0.0387016229712859,0.0299625468164794
3606542,TD Group US Holdings LLC,17,11,3,0.03347262824185874,0.05331340308918784,0.01542877646214567
1068025,KeyCorp,12,8,3,0.0333277606427081,0.04444444444444444,0.02693602693602694
2380443,"The Goldman Sachs Group, Inc.",17,11,3,0.03286447491253136,0.07273477244603328,0.01097912167026637
NA,23 participating firms,1,1,1,0.03222253417705116,0.03222253417705116,0.03222253417705116
1074156,Truist Financial Corporation,9,7,2,0.03208276313959463,0.04037897586284682,0.02716390423572744
2162966,Morgan Stanley,17,11,3,0.030766315383465553,0.07583710407239819,0.00811688311688311
3226762,RBC USA Holdco Corporation,2,1,2,0.03061224489795918,0.03061224489795918,0.03061224489795918
1574834,"Credit Suisse Holdings (USA), Inc.",10,6,3,0.03026704643858611,0.08319185059422751,-0.01092412612187057
1073757,Bank of America Corporation,17,11,3,0.030059460127457194,0.04403905080880781,0.0174928915811596
1027004,Zions Bancorporation,4,2,2,0.029175052460381146,0.04408817635270541,0.01498929336188436
1132449,"Citizens Financial Group, Inc.",13,9,3,0.02865401604973475,0.03680981595092025,0.02036021926389976
1078529,"BBVA Compass Bancshares, Inc.",6,3,2,0.02739693622181157,0.03703703703703703,0.01598837209302325
1036967,CIT Group Inc.,2,1,2,0.027089783281733747,0.02941176470588235,0.02476780185758514
1199844,Comerica Incorporated,4,2,2,0.025448350071736008,0.03235294117647059,0.01865136298421807
5280254,RBC US Group Holdings LLC,9,7,2,0.021937477079455155,0.03315749811605124,0.01618398637137989
1378434,MUFG Americas Holdings Corporation,10,5,3,0.021408451137158457,0.03803803803803803,0.01252408477842004
1245415,BMO Financial Corp.,15,10,3,0.016355545082802254,0.02893890675241157,-0.0053970701619121
1575569,"BNP Paribas USA, Inc.",6,4,3,0.014920829655243177,0.02579365079365079,0.00891861761426978
2816906,DB USA Corporation,13,9,3,0.003169440528798643,0.05612244897959184,-0.01092412612187057
3232316,HSBC North America Holdings Inc.,15,9,3,-9.692150144885725e-4,0.01640838650865998,-0.01000714796283059
