bank_rssd_id,bank_name,observations,mean_actual,mean_predicted,mean_residual,rmse
1026632,The Charles Schwab Corporation,5,0.08983852107738183,0.0898385210773818,1.665402299573515e-17,0.023052446705653432
1574834,"Credit Suisse Holdings (USA), Inc.",10,0.03026704643858611,0.030267046438586104,3.816391647148976e-18,0.022882219270961283
2816906,DB USA Corporation,13,0.003169440528798643,0.003169440528798624,1.8348167077900423e-17,0.019860170303983123
2162966,Morgan Stanley,17,0.030766315383465553,0.030766315383465536,1.6938466624516642e-17,0.01874303168905265
4846998,UBS Americas Holding LLC,13,0.04322702519148954,0.043227025191489556,-1.641328320084937e-17,0.014692469377119311
2380443,"The Goldman Sachs Group, Inc.",17,0.03286447491253136,0.03286447491253139,-2.877500468038321e-17,0.01385319276897981
3606542,TD Group US Holdings LLC,17,0.03347262824185874,0.03347262824185869,5.061350707929849e-17,0.010958807762678126
1120754,Wells Fargo & Company,17,0.04232308235044859,0.04232308235044861,-2.4081744596049585e-17,0.00991854027160722
3232316,HSBC North America Holdings Inc.,15,-9.692150144885725e-4,-9.692150144885308e-4,-4.182072711137602e-17,0.00936326419588597
3587146,The Bank of New York Mellon Corporation,17,0.05931560199540522,0.05931560199540521,4.081362860418771e-18,0.009246449146131153
1119794,U.S. Bancorp,17,0.04959797065782092,0.049597970657820976,-5.183692160793862e-17,0.008959705934805657
1275216,American Express Company,13,0.14663794171379677,0.14663794171379663,1.4091301194629314e-16,0.00859647899563384
1111435,State Street Corporation,17,0.04359792767525656,0.043597927675256616,-5.1633627472414145e-17,0.008526561529617867
2277860,Capital One Financial Corporation,17,0.09887843222720738,0.09887843222720746,-7.591966271333791e-17,0.008409505874546792
1951350,Citigroup Inc.,17,0.04246943861796604,0.042469438617966024,8.571349050824092e-18,0.007880337919183513
1245415,BMO Financial Corp.,15,0.016355545082802254,0.01635554508280226,-5.7824680554525075e-18,0.007293723298111741
3242838,Regions Financial Corporation,13,0.039633462180754114,0.03963346218075422,-1.0248202761544361e-16,0.0070146047082734276
5005998,BancWest Corporation,2,0.03433208489388265,0.04123932144976724,-0.006907236555884591,0.006971652976408067
1025608,BancWest Corporation,2,0.039256198347107446,0.03234896179122276,0.006907236555884679,0.0069074901663319695
1199611,Northern Trust Corporation,17,0.040711079918519626,0.04071107991851959,3.57150445700426e-17,0.006886029117089686
1037003,M&T Bank Corporation,14,0.042754865231064594,0.04275486523106465,-5.204170427930421e-17,0.006746943638520063
