model_name,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
M1_scenario_only,0.008992715270280657,0.005159031383511814,0.032560474259206586,2.345711210388883,0.09679767582192929,2,1044.4775159427845,-2080.955031885569,-2063.9397166392673,0.548115378219963,517,520
M2_pooled_controls,0.015104411048940973,0.007454736571651299,0.03252288411922182,1.9745168364722823,0.09710215061075307,4,1046.0859411253082,-2080.1718822506164,-2054.6489093811633,0.5447350655876504,515,520
M3_year_fixed_effects,0.09239905657678704,0.06538712373681055,0.03155947508461989,3.420675489020917,1.4603269955361243e-5,15,1067.3359600747538,-2100.6719201495075,-2028.3568303527245,0.5019842356788389,504,520
M4_bank_fixed_effects,0.9020340979928608,0.8892280977304897,0.010864974166977716,70.43839446445882,2.919465256570325e-195,60,1646.1441414423302,-3168.2882828846605,-2904.550896566981,0.05418387761493373,459,520
M5_bank_year_fixed_effects,0.9158963368843381,0.9027844072226536,0.01017845487209139,69.85213927441659,7.891882153255803e-201,70,1685.8121741911546,-3227.624348382309,-2921.348673948875,0.04651682366885723,449,520
M6_ppnr_rate_bank_year_fixed_effects,0.9582739495251402,0.9517687746181465,0.5842235525530012,147.3094825620902,1.6685884783136316e-268,70,-420.1932786241465,984.386557248293,1290.662231681727,153.25140455158456,449,520
