model_name,scenario_label,observations,mean_actual,mean_predicted,mean_residual,rmse,mae
M1_scenario_only,Supervisory Adverse,124,0.04932693504629841,0.04932693504629837,4.205285649057106e-17,0.031461919210382654,0.020043899254159975
M1_scenario_only,Supervisory Alternative Severe,34,0.03743745110606098,0.03743745110606095,3.479686085521894e-17,0.03258608094569352,0.019562538173464122
M1_scenario_only,Supervisory Severely Adverse,362,0.04346296636889541,0.04346296636889542,-5.3077038266421194e-18,0.03279227669407781,0.02125413161651502
M2_pooled_controls,Supervisory Adverse,124,0.04932693504629841,0.04932693504629838,3.1644645422016656e-17,0.03145746257202555,0.020304161738188265
M2_pooled_controls,Supervisory Alternative Severe,34,0.03743745110606098,0.03743745110606096,1.9286616343441764e-17,0.03208828835293557,0.019471543794021766
M2_pooled_controls,Supervisory Severely Adverse,362,0.04346296636889541,0.04346296636889543,-1.4380035057940886e-17,0.03269732967305783,0.02146339213904025
M3_year_fixed_effects,Supervisory Adverse,124,0.04932693504629841,0.049326935046298384,3.080564562593954e-17,0.03187296970257068,0.020922821239108883
M3_year_fixed_effects,Supervisory Alternative Severe,34,0.03743745110606098,0.03743745110606107,-9.357268882343165e-17,0.030549883030098115,0.018996725276356395
M3_year_fixed_effects,Supervisory Severely Adverse,362,0.04346296636889541,0.0434629663688954,1.3365810208209693e-17,0.03083919732429599,0.020297424155480887
M4_bank_fixed_effects,Supervisory Adverse,124,0.04932693504629841,0.049326935046298676,-2.6535136390670595e-16,0.00691014357086036,0.00535205774768814
M4_bank_fixed_effects,Supervisory Alternative Severe,34,0.03743745110606098,0.037437451106061045,-5.921019393738484e-17,0.006377324720216407,0.00499087217021361
M4_bank_fixed_effects,Supervisory Severely Adverse,362,0.04346296636889541,0.043462966368895434,-1.802553383020227e-17,0.011379937514745699,0.007999232019372663
M5_bank_year_fixed_effects,Supervisory Adverse,124,0.04932693504629841,0.04932693504629855,-1.4062634988184458e-16,0.00719727177129485,0.00547743560163378
M5_bank_year_fixed_effects,Supervisory Alternative Severe,34,0.03743745110606098,0.037437451106061025,-4.10465377519489e-17,0.006366256764163114,0.00505916128255951
M5_bank_year_fixed_effects,Supervisory Severely Adverse,362,0.04346296636889541,0.0434629663688954,1.6558506693673115e-17,0.010341615310141066,0.007205091945294654
M6_ppnr_rate_bank_year_fixed_effects,Supervisory Adverse,124,0.04932693504629841,3.2709677419354994,-3.221640806889201,4.082289263458036,3.221640806889201
M6_ppnr_rate_bank_year_fixed_effects,Supervisory Alternative Severe,34,0.03743745110606098,2.4312941176470595,-2.3938566665409984,3.6181659471770087,2.460542798243791
M6_ppnr_rate_bank_year_fixed_effects,Supervisory Severely Adverse,362,0.04346296636889541,2.805303867403314,-2.7618409010344185,3.769835444887877,2.7886859783689917
