item,value
Total candidate files searched,114
Regulatory-relevant files found,68
Primary folder files,36
PDF files found across searched locations,27
PDF files in primary regulatory folder,23
Markdown files across searched locations,7
Markdown files in primary regulatory folder,7
Inventory files across searched locations,26
HTML files across searched locations,6
Non-empty regulatory-relevant files,68
Regulatory-relevant files outside primary folder,32
