folder_role,publication_decision,pdf_signature_status,manual_status,files,total_size_bytes,total_size_kb
RAW_FED_METHODOLOGY,KEEP,VALID_PDF_SIGNATURE,SIM_ABRE,2,3162327,3088.2
REGULATORY_PUBLICATION_FEDERAL_RESERVE,KEEP,VALID_PDF_SIGNATURE,SIM_ABRE,11,18983374,18538.5
