vulnerability_rank_composite,bank_name,min_predicted_cet1_min_ratio,max_predicted_capital_depletion,mean_predicted_credit_loss_ratio,mean_predicted_ppnr_ratio,max_composite_vulnerability_score,observations_below_7
1,BMO Financial Corp.,6.0057389843914315,5.7386576584006175,0.04334462447423834,0.01657525013239087,0.9153225806451613,4
2,"BNP Paribas USA, Inc.",7.1301375979467485,5.269862402053252,0.05004031073532044,0.01492082965524317,0.8881048387096775,0
3,"First Citizens Bancshares, Inc.",6.700000000000003,4.4999999999999964,0.06981858163826275,0.03573391973611872,0.8878024193548388,1
4,M&T Bank Corporation,5.557268147756542,4.440121812732926,0.05624163548815768,0.04275486523106464,0.8746975806451611,3
5,HSBC North America Holdings Inc.,6.656608968799949,7.19729841522281,0.03227415800049942,-4.1997147018919774e-4,0.8744959677419355,1
6,Zions Bancorporation,7.330414208357601,4.869585791642399,0.04499470032141375,0.02917505246038118,0.8725806451612904,0
7,"BBVA Compass Bancshares, Inc.",6.694885914529606,4.126145444241189,0.04486402255375329,0.0273969362218115,0.8716733870967742,1
8,"Citizens Financial Group, Inc.",6.7620314281917135,4.437968571808286,0.04715142761679648,0.02865401604973479,0.8528225806451613,4
9,Capital One Financial Corporation,6.208271547552632,5.165653127556029,0.11751449485913804,0.0990727945561644,0.8280241935483872,2
10,Ally Financial Inc.,5.972050009756535,3.227949990243464,0.04951123177120789,0.03802199798518405,0.8110887096774194,4
11,KeyCorp,5.8989833488747765,3.6010166511252235,0.04077522730273876,0.03332776064270815,0.7849798387096775,2
12,BancWest Corporation,8.457189604135984,3.842810395864018,0.04768067860884555,0.03234896179122276,0.776008064516129,0
13,Fifth Third Bancorp,6.639823936000191,3.1601760639998098,0.04711510767214979,0.03934163251752126,0.7581653225806452,1
14,Huntington Bancshares Incorporated,6.620323479817769,3.179676520182232,0.04529999915083379,0.03933573669117907,0.7514112903225807,3
15,Regions Financial Corporation,7.189448933200598,3.7105510667994017,0.04676224070524136,0.04014035996940254,0.7476814516129033,0
16,"The Goldman Sachs Group, Inc.",5.8928213760523995,6.234443755810521,0.01891278374909071,0.03318723770169633,0.7297379032258065,1
17,"SunTrust Banks, Inc.",6.7196741486483935,3.0764234442523923,0.03196728005006309,0.03594065133887975,0.7222782258064515,3
18,Wells Fargo & Company,7.455076895458724,3.644923104541276,0.03712276607229439,0.04269975942687503,0.7192540322580645,0
19,Truist Financial Corporation,7.0281372417647985,2.2153766658721223,0.04482232973740247,0.03237902436592663,0.7059475806451614,0
20,RBC US Group Holdings LLC,10.313413037349411,5.332210960683348,0.04655891678459463,0.02228658545509428,0.7015120967741936,0
