bank_rssd_id,bank_name,exercise_year,scenario_code,scenario_label,variable,value,is_outlier
NA,35 participating firms,2017,2,Supervisory Adverse,pretax_net_income_amount,125,TRUE
NA,30 participating bank holding companies,2013,2,Supervisory Adverse,pretax_net_income_amount,92.4,TRUE
1120754,Wells Fargo & Company,2016,2,Supervisory Adverse,pretax_net_income_amount,53.8,TRUE
1068191,Huntington Bancshares Incorporated,2015,2,Supervisory Adverse,rwa_growth_rate,0.4195205479452056,TRUE
1068025,KeyCorp,2015,2,Supervisory Adverse,rwa_growth_rate,0.41222222222222216,TRUE
1068191,Huntington Bancshares Incorporated,2015,3,Supervisory Severely Adverse,rwa_growth_rate,0.3955479452054795,TRUE
1068025,KeyCorp,2015,3,Supervisory Severely Adverse,rwa_growth_rate,0.38777777777777783,TRUE
3606542,TD Group US Holdings LLC,2015,2,Supervisory Adverse,rwa_growth_rate,0.2593769866497138,TRUE
1036967,CIT Group Inc.,2016,3,Supervisory Severely Adverse,rwa_growth_rate,-0.24613003095975225,TRUE
3606542,TD Group US Holdings LLC,2015,3,Supervisory Severely Adverse,rwa_growth_rate,0.2174189446916719,TRUE
1036967,CIT Group Inc.,2016,2,Supervisory Adverse,rwa_growth_rate,-0.21517027863777077,TRUE
4846998,UBS Americas Holding LLC,2023,3,Supervisory Severely Adverse,rwa_growth_rate,-0.13406292749658,TRUE
4846998,UBS Americas Holding LLC,2024,3,Supervisory Severely Adverse,rwa_growth_rate,-0.13231552162849863,TRUE
4846998,UBS Americas Holding LLC,2020,3,Supervisory Severely Adverse,rwa_growth_rate,-0.11645962732919264,TRUE
4846998,UBS Americas Holding LLC,2020,30,Supervisory Alternative Severe,rwa_growth_rate,-0.11645962732919264,TRUE
NA,32 participating banks,2025,3,Supervisory Severely Adverse,total_loan_losses_amount,624.9,TRUE
NA,31 participating banks,2023,3,Supervisory Severely Adverse,total_loan_losses_amount,569.5,TRUE
NA,33 participating firms,2020,3,Supervisory Severely Adverse,total_loan_losses_amount,514.3,TRUE
NA,33 participating firms,2020,30,Supervisory Alternative Severe,total_loan_losses_amount,491.2,TRUE
NA,22 participating banks,2024,3,Supervisory Severely Adverse,total_loan_losses_amount,471.9,TRUE
NA,33 participating banks,2021,3,Supervisory Severely Adverse,total_loan_losses_amount,463.3,TRUE
NA,33 participating firms,2019,3,Supervisory Severely Adverse,total_loan_losses_amount,432.5,TRUE
1574834,"Credit Suisse Holdings (USA), Inc.",2017,2,Supervisory Adverse,total_loan_losses_amount,0.1,TRUE
1574834,"Credit Suisse Holdings (USA), Inc.",2017,3,Supervisory Severely Adverse,total_loan_losses_amount,0.1,TRUE
1574834,"Credit Suisse Holdings (USA), Inc.",2018,2,Supervisory Adverse,total_loan_losses_amount,0.1,TRUE
1574834,"Credit Suisse Holdings (USA), Inc.",2018,3,Supervisory Severely Adverse,total_loan_losses_amount,0.1,TRUE
1574834,"Credit Suisse Holdings (USA), Inc.",2019,3,Supervisory Severely Adverse,total_loan_losses_amount,0.1,TRUE
1574834,"Credit Suisse Holdings (USA), Inc.",2021,3,Supervisory Severely Adverse,total_loan_losses_amount,0.1,TRUE
1574834,"Credit Suisse Holdings (USA), Inc.",2022,3,Supervisory Severely Adverse,total_loan_losses_amount,0,TRUE
