bank_rssd_id,bank_name,exercise_year,scenario_code,scenario_label,cet1_actual_ratio,cet1_min_ratio,cet1_depletion_min,total_loan_losses_amount,ppnr_amount,ppnr_loss_absorption_ratio,rwa_growth_rate,stress_rank
1951350,Citigroup Inc.,2014,2,Supervisory Adverse,15.1,9.3,5.799999999999999,36,50.9,0.9864341085271318,NA,42
2380443,"The Goldman Sachs Group, Inc.",2021,3,Supervisory Severely Adverse,14.2,8.4,5.799999999999999,18.3,34.9,0.7425531914893617,-0.0014773230905599,43
2380443,"The Goldman Sachs Group, Inc.",2018,3,Supervisory Severely Adverse,13.3,7.6,5.700000000000001,9.7,12.9,0.44027303754266217,-0.00602299689724394,44
3232316,HSBC North America Holdings Inc.,2019,3,Supervisory Severely Adverse,13,7.3,5.7,3.9,-0.1,-0.01785714285714285,-0.0419580419580419,45
4846998,UBS Americas Holding LLC,2018,3,Supervisory Severely Adverse,21.7,16,5.699999999999999,1.3,2.3,0.8214285714285714,-0.00184842883548985,46
2380443,"The Goldman Sachs Group, Inc.",2023,3,Supervisory Severely Adverse,14.4,8.8,5.6,19.5,19.3,0.48129675810473815,-0.01746787931283387,47
1245415,BMO Financial Corp.,2020,30,Supervisory Alternative Severe,12.1,6.5,5.6,6.4,0.7,0.109375,-0.00877893056664001,48
1027004,Zions Bancorporation,2015,3,Supervisory Severely Adverse,12.2,6.6,5.6,2.6,0.7,0.2692307692307692,0.06638115631691636,49
1245415,BMO Financial Corp.,2023,3,Supervisory Severely Adverse,10.5,5,5.5,11.1,2.4,0.21621621621621623,-0.03615023474178398,50
3232316,HSBC North America Holdings Inc.,2015,2,Supervisory Adverse,15.7,10.2,5.5,3.5,1,0.20833333333333337,0.07084309133489458,51
4846998,UBS Americas Holding LLC,2017,3,Supervisory Severely Adverse,21.9,16.4,5.5,1.8,3.1,1.2916666666666667,0.04637096774193542,52
1575569,"BNP Paribas USA, Inc.",2019,3,Supervisory Severely Adverse,15.8,10.4,5.4,4.8,0.9,0.1875,-0.01251422070534708,53
2277860,Capital One Financial Corporation,2019,3,Supervisory Severely Adverse,12.2,6.8,5.3999999999999995,41.2,31,0.7487922705314008,-0.00893997445721587,54
2277860,Capital One Financial Corporation,2020,3,Supervisory Severely Adverse,12.4,7.1,5.300000000000001,42.6,23.1,0.5409836065573771,0.0155065472088215,55
1574834,"Credit Suisse Holdings (USA), Inc.",2020,3,Supervisory Severely Adverse,21.2,15.9,5.299999999999999,0.2,3.5,0.945945945945946,-0.05874840357598971,56
2816906,DB USA Corporation,2018,2,Supervisory Adverse,22.9,17.6,5.299999999999997,0.2,0.1,0.11111111111111112,0.04931506849315061,57
1951350,Citigroup Inc.,2016,3,Supervisory Severely Adverse,14.9,9.7,5.200000000000001,44.5,49,0.8749999999999999,0.08345911391281187,58
3232316,HSBC North America Holdings Inc.,2014,2,Supervisory Adverse,16.3,11.1,5.200000000000001,6.1,4.5,0.7031250000000001,NA,59
2277860,Capital One Financial Corporation,2023,3,Supervisory Severely Adverse,12.9,7.7,5.2,52.9,35.2,0.6604127579737337,-0.01191765980498368,60
2277860,Capital One Financial Corporation,2018,3,Supervisory Severely Adverse,11.2,6,5.199999999999999,38.6,30.7,0.79328165374677,0.06273312987453375,61
2380443,"The Goldman Sachs Group, Inc.",2015,3,Supervisory Severely Adverse,13.6,8.4,5.199999999999999,4.8,12.1,0.45318352059925093,0.08204541118107231,62
4846998,UBS Americas Holding LLC,2024,3,Supervisory Severely Adverse,20.5,15.3,5.199999999999999,2.5,2.2,0.8800000000000001,-0.13231552162849863,63
1574834,"Credit Suisse Holdings (USA), Inc.",2019,3,Supervisory Severely Adverse,24.7,19.5,5.199999999999999,0.1,1.2,0.3870967741935484,-0.08667736757624396,64
3232316,HSBC North America Holdings Inc.,2023,3,Supervisory Severely Adverse,11.8,6.7,5.1000000000000005,3.6,-0.3,-0.08333333333333333,-0.0352045670789723,65
