model_name,term,estimate,std.error,statistic,p.value,significant_10pct,significant_5pct,significant_1pct
M1_scenario_only,(Intercept),0.028089855463068764,0.002449679661834757,11.466746407989554,2.8133021255961553e-27,TRUE,TRUE,TRUE
M1_scenario_only,scenario_factorSupervisory Alternative Severe,0.023220772727461488,0.0052807837275014235,4.397220928880623,1.3317627055873549e-5,TRUE,TRUE,TRUE
M1_scenario_only,scenario_factorSupervisory Severely Adverse,0.017618400333400785,0.0028383970442075386,6.207165544142442,1.1078851076558635e-9,TRUE,TRUE,TRUE
M2_pooled_controls,(Intercept),0.05881805692185882,0.007281774703709871,8.077434322692321,4.7249467658274585e-15,TRUE,TRUE,TRUE
M2_pooled_controls,scenario_factorSupervisory Alternative Severe,0.02363318976670439,0.005109286136429931,4.625536549655423,4.731992988680226e-6,TRUE,TRUE,TRUE
M2_pooled_controls,scenario_factorSupervisory Severely Adverse,0.018401238013558436,0.0027524643236501163,6.685368400763162,6.005109457743153e-11,TRUE,TRUE,TRUE
M2_pooled_controls,x_initial_cet1_model,-0.001446686388126254,2.368861521363513e-4,-6.107095645225997,2.0004892198655338e-9,TRUE,TRUE,TRUE
M2_pooled_controls,log_rwa_actual,-0.0022119135595219017,9.97939015532193e-4,-2.2164816938661387,0.027094714987751768,TRUE,TRUE,FALSE
M3_year_fixed_effects,(Intercept),0.03525012545368298,0.008881655605962173,3.968868757984705,8.270468465140382e-5,TRUE,TRUE,TRUE
M3_year_fixed_effects,scenario_factorSupervisory Alternative Severe,0.02425185796211127,0.006537876124674933,3.7094398088365566,2.30807367281544e-4,TRUE,TRUE,TRUE
M3_year_fixed_effects,scenario_factorSupervisory Severely Adverse,0.02017305379706106,0.0034069332539789186,5.92117669857523,5.918735527740508e-9,TRUE,TRUE,TRUE
M3_year_fixed_effects,x_initial_cet1_model,-0.0010870613024880932,2.4355191272921385e-4,-4.463365901366215,9.962073333912831e-6,TRUE,TRUE,TRUE
M3_year_fixed_effects,log_rwa_actual,-0.002770638191430407,9.990418545223047e-4,-2.77329541188762,0.005754826714648305,TRUE,TRUE,TRUE
M3_year_fixed_effects,x_rwa_growth_model,0.2003861929581066,0.03994609197417704,5.0164154502934934,7.308175960216632e-7,TRUE,TRUE,TRUE
M3_year_fixed_effects,year_factor2016,0.002678750444118442,0.004402589229677757,0.6084488705103451,0.5431639154408119,FALSE,FALSE,FALSE
M3_year_fixed_effects,year_factor2017,0.008815707925141797,0.004645491085888439,1.897691280028754,0.058307938643218614,TRUE,FALSE,FALSE
M3_year_fixed_effects,year_factor2018,0.007926796964009476,0.006078123813470094,1.3041519401829933,0.19277705985338014,FALSE,FALSE,FALSE
M3_year_fixed_effects,year_factor2019,0.02108209151446761,0.006912414136380773,3.0498883745275496,0.0024097318336376984,TRUE,TRUE,TRUE
M3_year_fixed_effects,year_factor2020,0.024096202476089318,0.0063477227674536875,3.7960388880932836,1.6492150467749985e-4,TRUE,TRUE,TRUE
M3_year_fixed_effects,year_factor2021,0.022085302587609306,0.006887152874319682,3.2067391258235873,0.001427752541421615,TRUE,TRUE,TRUE
M3_year_fixed_effects,year_factor2022,0.018124740870305998,0.007587845492355579,2.3886544459248515,0.017277192855676075,TRUE,TRUE,FALSE
M3_year_fixed_effects,year_factor2023,0.030186261744543856,0.0070948686528328414,4.254661110955321,2.4966967004734944e-5,TRUE,TRUE,TRUE
