bank_rssd_id,bank_name,exercise_year,exercise_quarter,exercise_name_std,scenario_code,scenario_label,cet1_actual_ratio,cet1_end_ratio,cet1_min_ratio,tier1_actual_ratio,tier1_end_ratio,tier1_min_ratio,total_capital_actual_ratio,total_capital_end_ratio,total_capital_min_ratio,tier1_leverage_actual_ratio,tier1_leverage_end_ratio,tier1_leverage_min_ratio,supp_leverage_actual_ratio,supp_leverage_end_ratio,supp_leverage_min_ratio,rwa_actual_amount,rwa_end_amount,total_loan_losses_amount,total_loan_losses_rate,ppnr_amount,ppnr_rate,provision_amount,pretax_net_income_amount,pretax_net_income_rate,net_interest_income_amount,noninterest_income_amount,noninterest_expense_amount,other_revenue_amount,securities_losses_amount,trading_counterparty_losses_amount,other_losses_amount,aoci_actual_amount,aoci_end_amount,cet1_depletion_end,cet1_depletion_min,tier1_depletion_end,tier1_depletion_min,total_capital_depletion_end,total_capital_depletion_min,leverage_depletion_end,leverage_depletion_min,rwa_change_amount,rwa_growth_rate,total_market_operational_losses_amount,total_observed_losses_amount,ppnr_loss_absorption_ratio,provision_to_loan_loss_ratio,pretax_income_to_ppnr_ratio,loan_loss_burden_on_ppnr,observed_loss_burden_on_ppnr,aoci_change_amount,y_credit_loss_ratio,y_credit_loss_rate,y_ppnr_ratio,y_ppnr_rate,y_capital_depletion,y_pretax_margin,x_initial_cet1,x_initial_rwa,x_rwa_growth,x_ppnr_absorption,x_loan_loss_burden,x_observed_loss_burden,x_provision_ratio,x_ppnr_to_losses,credit_loss_model_sample,ppnr_model_sample,capital_model_sample,full_core_model_sample
2162966,Morgan Stanley,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,16.9,8.2,7.5,17,9.4,8.7,7.2,5.1,4.5,NA,NA,NA,NA,NA,1.6,3.1,1.2,0.2,2.3,-19.4,-2.9,NA,NA,NA,0,0,11.7,6.7,NA,NA,NA,NA,8.7,9.4,7.6,8.3,2.1000000000000005,2.7,NA,NA,18.4,20,0.06,1.4374999999999998,-16.166666666666668,1.3333333333333337,16.666666666666668,NA,NA,3.1,NA,0.2,NA,NA,NA,NA,NA,0.06,1.3333333333333337,16.666666666666668,1.4374999999999998,0.7499999999999999,0,0,0,0
3242838,Regions Financial Corporation,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,11.5,8.5,8.5,15,11.7,11.7,9.1,6.8,6.8,NA,NA,NA,NA,NA,5.4,7.6,3.1,2.6,5.2,-2.2,-1.9,NA,NA,NA,0,0.1,0,0,NA,NA,NA,NA,3,3,3.3000000000000007,3.3000000000000007,2.3,2.3,NA,NA,0.1,5.5,0.5636363636363636,0.9629629629629628,-0.7096774193548387,1.7419354838709675,1.7741935483870968,NA,NA,7.6,NA,2.6,NA,NA,NA,NA,NA,0.5636363636363636,1.7419354838709675,1.7741935483870968,0.9629629629629629,0.5740740740740741,0,0,0,0
1111435,State Street Corporation,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,19.8,14.5,14.4,21.3,16.6,16.2,7.6,7.1,6.6,NA,NA,NA,NA,NA,0.3,2,3,1.5,0.4,1.5,0.8,NA,NA,NA,0,0.4,0,0.7,NA,NA,NA,NA,5.300000000000001,5.4,4.699999999999999,5.100000000000001,0.5,1,NA,NA,1.1,1.4,2.142857142857143,1.3333333333333337,0.5,0.1,0.4666666666666666,NA,NA,2,NA,1.5,NA,NA,NA,NA,NA,2.142857142857143,0.1,0.4666666666666666,1.3333333333333335,10,0,0,0,0
1131787,"SunTrust Banks, Inc.",2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,10.6,8.2,8.2,13,10.4,10.4,8.5,6.5,6.5,NA,NA,NA,NA,NA,7.4,6.4,4.6,2.8,7.9,-4.1,-2.5,NA,NA,NA,0,0,0,0.7,NA,NA,NA,NA,2.4000000000000004,2.4000000000000004,2.5999999999999996,2.5999999999999996,2,2,NA,NA,0.7,8.1,0.5679012345679012,1.0675675675675675,-0.8913043478260869,1.6086956521739133,1.7608695652173914,NA,NA,6.4,NA,2.8,NA,NA,NA,NA,NA,0.5679012345679012,1.6086956521739133,1.7608695652173914,1.0675675675675675,0.6216216216216215,0,0,0,0
3587146,The Bank of New York Mellon Corporation,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,15.3,17.1,14.8,16.9,17.9,16,5.6,5.9,5.1,NA,NA,NA,NA,NA,1.2,2.7,6.8,2.1,1.1,5.5,1.6,NA,NA,NA,0,0.2,0,0,NA,NA,NA,NA,-1.8000000000000007,0.5,-1,0.8999999999999986,-0.3000000000000007,0.5,NA,NA,0.2,1.4,4.857142857142858,0.9166666666666669,0.8088235294117647,0.17647058823529413,0.2058823529411765,NA,NA,2.7,NA,2.1,NA,NA,NA,NA,NA,4.857142857142858,0.17647058823529413,0.2058823529411765,0.9166666666666667,5.666666666666667,0,0,0,0
2380443,"The Goldman Sachs Group, Inc.",2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,15,9.8,7.5,18.1,12.8,10.4,7.2,5.6,3.9,NA,NA,NA,NA,NA,2,5.2,14.4,1.7,2.6,-20.5,-2.4,NA,NA,NA,0,0.2,24.9,7.1,NA,NA,NA,NA,5.199999999999999,7.5,5.300000000000001,7.700000000000001,1.6000000000000003,3.3000000000000003,NA,NA,32.199999999999996,34.199999999999996,0.42105263157894746,1.3,-1.4236111111111112,0.1388888888888889,2.3749999999999996,NA,NA,5.2,NA,1.7,NA,NA,NA,NA,NA,0.42105263157894746,0.1388888888888889,2.3749999999999996,1.3,7.2,0,0,0,0
1069778,"The PNC Financial Services Group, Inc.",2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,11.7,10.8,10.8,14.5,13.4,13.4,10.4,8.7,8.7,NA,NA,NA,NA,NA,10,5.8,9.8,3.2,9.8,-1.4,-0.5,NA,NA,NA,-0.1,0.8,0,0.4,NA,NA,NA,NA,0.8999999999999986,0.8999999999999986,1.0999999999999996,1.0999999999999996,1.700000000000001,1.700000000000001,NA,NA,1.2000000000000002,11.2,0.875,0.98,-0.14285714285714285,1.020408163265306,1.1428571428571428,NA,NA,5.8,NA,3.2,NA,NA,NA,NA,NA,0.875,1.020408163265306,1.1428571428571428,0.9800000000000001,0.9800000000000001,0,0,0,0
1119794,U.S. Bancorp,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,10.9,10.3,10.3,13.3,12.3,12.3,9.2,8.7,8.7,NA,NA,NA,NA,NA,15.1,7.1,21.2,6.2,17.2,3.6,1.1,NA,NA,NA,0.1,0.2,0,0.3,NA,NA,NA,NA,0.5999999999999996,0.5999999999999996,1,1,0.5,0.5,NA,NA,0.5,15.6,1.358974358974359,1.1390728476821192,0.169811320754717,0.7122641509433962,0.7358490566037736,NA,NA,7.1,NA,6.2,NA,NA,NA,NA,NA,1.358974358974359,0.7122641509433962,0.7358490566037736,1.1390728476821192,1.403973509933775,0,0,0,0
1120754,Wells Fargo & Company,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,11.5,8.7,8.7,14.5,11.4,11.2,9.4,7,7,NA,NA,NA,NA,NA,53.8,7.1,45.9,3.3,58.8,-25.7,-1.9,NA,NA,NA,0,3.9,6.9,2,NA,NA,NA,NA,2.8000000000000007,2.8000000000000007,3.0999999999999996,3.3000000000000007,2.4000000000000004,2.4000000000000004,NA,NA,12.8,66.6,0.6891891891891893,1.0929368029739777,-0.5599128540305011,1.1721132897603486,1.4509803921568627,NA,NA,7.1,NA,3.3,NA,NA,NA,NA,NA,0.6891891891891893,1.1721132897603486,1.4509803921568627,1.0929368029739777,0.8531598513011153,0,0,0,0
NA,30 participating bank holding companies,2013,9/30/2013,DFAST 2014,2,Supervisory Adverse,NA,10,9.3,12.9,10.7,10,15.6,13.1,12.6,8.4,7.3,6.9,NA,NA,NA,NA,9638.8,266.5,5,444.3,3.2,263.4,92.4,0.7,NA,NA,NA,0,6.6,57.4,24.5,-32.3,-53.5,NA,NA,2.200000000000001,2.9000000000000004,2.5,3,1.1000000000000003,1.5,NA,NA,88.5,355,1.251549295774648,0.9883677298311444,0.20796758946657665,0.5998199414809813,0.7990096781453973,-21.200000000000003,NA,5,NA,3.2,NA,NA,NA,NA,NA,1.251549295774648,0.5998199414809813,0.7990096781453973,0.9883677298311444,1.6671669793621013,0,0,0,0
NA,30 participating bank holding companies,2013,9/30/2013,DFAST 2014,3,Supervisory Severely Adverse,NA,7.9,7.9,12.9,8.5,8.5,15.6,11,11,8.4,5.9,5.9,NA,NA,NA,NA,9432.4,366.1,6.9,315.9,2.3,398.6,-217.1,-1.6,NA,NA,NA,0,7,98.1,29.3,-11.6,-21.8,NA,NA,4.4,4.4,4.6,4.6,2.5,2.5,NA,NA,134.4,500.50000000000006,0.631168831168831,1.088773559136848,-0.6872427983539094,1.158911047799937,1.5843621399176957,-10.2,NA,6.9,NA,2.3,NA,NA,NA,NA,NA,0.631168831168831,1.158911047799937,1.5843621399176957,1.088773559136848,0.8628789948101611,0,0,0,0
1562859,Ally Financial Inc.,2013,9/30/2013,DFAST 2014,2,Supervisory Adverse,NA,9.4,8.8,15.4,11.9,10.6,16.4,13.3,11.8,13.2,10.2,8.9,NA,NA,NA,NA,140.7,3.8,3.8,5.3,3.4,4.1,0.8,0.5,NA,NA,NA,0,0.4,0,0,0,0,NA,NA,3.5,4.800000000000001,3.099999999999998,4.599999999999998,3,4.299999999999999,NA,NA,0.4,4.2,1.261904761904762,1.0789473684210529,0.15094339622641512,0.71698113207547165,0.7924528301886793,0,NA,3.8,NA,3.4,NA,NA,NA,NA,NA,1.261904761904762,0.71698113207547165,0.7924528301886793,1.0789473684210527,1.3947368421052633,0,0,0,0
1562859,Ally Financial Inc.,2013,9/30/2013,DFAST 2014,3,Supervisory Severely Adverse,NA,7.3,7.3,15.4,9.1,9.1,16.4,10.6,10.6,13.2,7.9,7.9,NA,NA,NA,NA,137.3,5,5,3.6,2.3,5.7,-2.7,-1.8,NA,NA,NA,0,0.6,0,0,0,0,NA,NA,6.300000000000001,6.300000000000001,5.799999999999999,5.799999999999999,5.299999999999999,5.299999999999999,NA,NA,0.6,5.6,0.6428571428571429,1.14,-0.75,1.3888888888888888,1.5555555555555554,0,NA,5,NA,2.3,NA,NA,NA,NA,NA,0.6428571428571429,1.3888888888888888,1.5555555555555554,1.1400000000000001,0.72,0,0,0,0
1275216,American Express Company,2013,9/30/2013,DFAST 2014,2,Supervisory Adverse,NA,16.2,13.9,12.8,16.2,12.5,14.7,17.6,14.4,10.7,13.2,10.4,NA,NA,NA,NA,132.9,8.9,8.2,22.6,14.5,11.5,11.1,7.1,NA,NA,NA,0,0,0,0,-0.4,-0.8,NA,NA,-3.3999999999999986,0.3000000000000007,-2.900000000000002,0.29999999999999893,-2.5,0.29999999999999893,NA,NA,0,8.9,2.539325842696629,1.2921348314606742,0.491150442477876,0.3938053097345133,0.3938053097345133,-0.4,NA,8.2,NA,14.5,NA,NA,NA,NA,NA,2.539325842696629,0.3938053097345133,0.3938053097345133,1.2921348314606742,2.539325842696629,0,0,0,0
1275216,American Express Company,2013,9/30/2013,DFAST 2014,3,Supervisory Severely Adverse,NA,14,12.9,12.8,14,12.3,14.7,15.4,14.1,10.7,11.6,10.1,NA,NA,NA,NA,130.6,11.4,10.7,20.9,13.6,14.9,6,3.9,NA,NA,NA,0,0,0,0,-0.3,-0.7,NA,NA,-1.1999999999999993,0.5,-0.7000000000000011,0.5999999999999996,-0.9000000000000004,0.5999999999999996,NA,NA,0,11.4,1.8333333333333333,1.3070175438596492,0.28708133971291866,0.5454545454545455,0.5454545454545455,-0.4,NA,10.7,NA,13.6,NA,NA,NA,NA,NA,1.8333333333333333,0.5454545454545455,0.5454545454545455,1.3070175438596492,1.8333333333333333,0,0,0,0
