bank_rssd_id,bank_name,exercise_year,exercise_quarter,exercise_name_std,scenario_code,scenario_label,cet1_actual_ratio,cet1_end_ratio,cet1_min_ratio,tier1_actual_ratio,tier1_end_ratio,tier1_min_ratio,total_capital_actual_ratio,total_capital_end_ratio,total_capital_min_ratio,tier1_leverage_actual_ratio,tier1_leverage_end_ratio,tier1_leverage_min_ratio,supp_leverage_actual_ratio,supp_leverage_end_ratio,supp_leverage_min_ratio,rwa_actual_amount,rwa_end_amount,total_loan_losses_amount,total_loan_losses_rate,ppnr_amount,ppnr_rate,provision_amount,pretax_net_income_amount,pretax_net_income_rate,net_interest_income_amount,noninterest_income_amount,noninterest_expense_amount,other_revenue_amount,securities_losses_amount,trading_counterparty_losses_amount,other_losses_amount,aoci_actual_amount,aoci_end_amount,cet1_depletion_end,cet1_depletion_min,tier1_depletion_end,tier1_depletion_min,total_capital_depletion_end,total_capital_depletion_min,leverage_depletion_end,leverage_depletion_min,rwa_change_amount,rwa_growth_rate,total_market_operational_losses_amount,total_observed_losses_amount,ppnr_loss_absorption_ratio,provision_to_loan_loss_ratio,pretax_income_to_ppnr_ratio,loan_loss_burden_on_ppnr,observed_loss_burden_on_ppnr,aoci_change_amount
2162966,Morgan Stanley,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,16.9,8.2,7.5,17,9.4,8.7,7.2,5.1,4.5,NA,NA,NA,NA,NA,1.6,3.1,1.2,0.2,2.3,-19.4,-2.9,NA,NA,NA,0,0,11.7,6.7,NA,NA,NA,NA,8.7,9.399999999999999,7.6,8.3,2.1000000000000005,2.7,NA,NA,18.4,20,0.06,1.4374999999999998,-16.166666666666668,1.3333333333333335,16.666666666666668,NA
3242838,Regions Financial Corporation,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,11.5,8.5,8.5,15,11.7,11.7,9.1,6.8,6.8,NA,NA,NA,NA,NA,5.4,7.6,3.1,2.6,5.2,-2.2,-1.9,NA,NA,NA,0,0.1,0,0,NA,NA,NA,NA,3,3,3.3000000000000007,3.3000000000000007,2.3,2.3,NA,NA,0.1,5.5,0.5636363636363636,0.9629629629629629,-0.7096774193548387,1.7419354838709677,1.7741935483870968,NA
1111435,State Street Corporation,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,19.8,14.5,14.4,21.3,16.6,16.2,7.6,7.1,6.6,NA,NA,NA,NA,NA,0.3,2,3,1.5,0.4,1.5,0.8,NA,NA,NA,0,0.4,0,0.7,NA,NA,NA,NA,5.300000000000001,5.4,4.699999999999999,5.100000000000001,0.5,1,NA,NA,1.1,1.4,2.142857142857143,1.3333333333333335,0.5,0.09999999999999999,0.4666666666666666,NA
1131787,"SunTrust Banks, Inc.",2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,10.6,8.2,8.2,13,10.4,10.4,8.5,6.5,6.5,NA,NA,NA,NA,NA,7.4,6.4,4.6,2.8,7.9,-4.1,-2.5,NA,NA,NA,0,0,0,0.7,NA,NA,NA,NA,2.4000000000000004,2.4000000000000004,2.5999999999999996,2.5999999999999996,2,2,NA,NA,0.7,8.1,0.5679012345679012,1.0675675675675675,-0.8913043478260869,1.6086956521739133,1.7608695652173914,NA
3587146,The Bank of New York Mellon Corporation,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,15.3,17.1,14.8,16.9,17.9,16,5.6,5.9,5.1,NA,NA,NA,NA,NA,1.2,2.7,6.8,2.1,1.1,5.5,1.6,NA,NA,NA,0,0.2,0,0,NA,NA,NA,NA,-1.8000000000000007,0.5,-1,0.8999999999999986,-0.3000000000000007,0.5,NA,NA,0.2,1.4,4.857142857142858,0.9166666666666667,0.8088235294117647,0.17647058823529413,0.20588235294117646,NA
2380443,"The Goldman Sachs Group, Inc.",2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,15,9.8,7.5,18.1,12.8,10.4,7.2,5.6,3.9,NA,NA,NA,NA,NA,2,5.2,14.4,1.7,2.6,-20.5,-2.4,NA,NA,NA,0,0.2,24.9,7.1,NA,NA,NA,NA,5.199999999999999,7.5,5.300000000000001,7.700000000000001,1.6000000000000005,3.3000000000000003,NA,NA,32.199999999999996,34.199999999999996,0.42105263157894746,1.3,-1.4236111111111112,0.1388888888888889,2.3749999999999996,NA
1069778,"The PNC Financial Services Group, Inc.",2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,11.7,10.8,10.8,14.5,13.4,13.4,10.4,8.7,8.7,NA,NA,NA,NA,NA,10,5.8,9.8,3.2,9.8,-1.4,-0.5,NA,NA,NA,-0.1,0.8,0,0.4,NA,NA,NA,NA,0.8999999999999986,0.8999999999999986,1.0999999999999996,1.0999999999999996,1.700000000000001,1.700000000000001,NA,NA,1.2000000000000002,11.200000000000001,0.875,0.9800000000000001,-0.14285714285714285,1.0204081632653061,1.1428571428571428,NA
1119794,U.S. Bancorp,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,10.9,10.3,10.3,13.3,12.3,12.3,9.2,8.7,8.7,NA,NA,NA,NA,NA,15.1,7.1,21.2,6.2,17.2,3.6,1.1,NA,NA,NA,0.1,0.2,0,0.3,NA,NA,NA,NA,0.5999999999999996,0.5999999999999996,1,1,0.5,0.5,NA,NA,0.5,15.6,1.358974358974359,1.1390728476821192,0.169811320754717,0.7122641509433962,0.7358490566037736,NA
1120754,Wells Fargo & Company,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,11.5,8.7,8.7,14.5,11.4,11.2,9.4,7,7,NA,NA,NA,NA,NA,53.8,7.1,45.9,3.3,58.8,-25.7,-1.9,NA,NA,NA,0,3.9,6.9,2,NA,NA,NA,NA,2.8000000000000007,2.8000000000000007,3.0999999999999996,3.3000000000000007,2.4000000000000004,2.4000000000000004,NA,NA,12.8,66.6,0.6891891891891893,1.0929368029739777,-0.5599128540305011,1.1721132897603486,1.4509803921568627,NA
NA,30 participating bank holding companies,2013,9/30/2013,DFAST 2014,2,Supervisory Adverse,NA,10,9.3,12.9,10.7,10,15.6,13.1,12.6,8.4,7.3,6.9,NA,NA,NA,NA,9638.8,266.5,5,444.3,3.2,263.4,92.4,0.7,NA,NA,NA,0,6.6,57.4,24.5,-32.3,-53.5,NA,NA,2.200000000000001,2.9000000000000004,2.5,3,1.1000000000000005,1.5,NA,NA,88.5,355,1.251549295774648,0.9883677298311444,0.20796758946657665,0.5998199414809813,0.7990096781453973,-21.200000000000003
NA,30 participating bank holding companies,2013,9/30/2013,DFAST 2014,3,Supervisory Severely Adverse,NA,7.9,7.9,12.9,8.5,8.5,15.6,11,11,8.4,5.9,5.9,NA,NA,NA,NA,9432.4,366.1,6.9,315.9,2.3,398.6,-217.1,-1.6,NA,NA,NA,0,7,98.1,29.3,-11.6,-21.8,NA,NA,4.4,4.4,4.6,4.6,2.5,2.5,NA,NA,134.4,500.50000000000006,0.631168831168831,1.088773559136848,-0.6872427983539094,1.158911047799937,1.5843621399176957,-10.200000000000001
1562859,Ally Financial Inc.,2013,9/30/2013,DFAST 2014,2,Supervisory Adverse,NA,9.4,8.8,15.4,11.9,10.6,16.4,13.3,11.8,13.2,10.2,8.9,NA,NA,NA,NA,140.7,3.8,3.8,5.3,3.4,4.1,0.8,0.5,NA,NA,NA,0,0.4,0,0,0,0,NA,NA,3.5,4.800000000000001,3.099999999999998,4.599999999999998,3,4.299999999999999,NA,NA,0.4,4.2,1.2619047619047619,1.0789473684210527,0.15094339622641512,0.71698113207547165,0.7924528301886793,0
1562859,Ally Financial Inc.,2013,9/30/2013,DFAST 2014,3,Supervisory Severely Adverse,NA,7.3,7.3,15.4,9.1,9.1,16.4,10.6,10.6,13.2,7.9,7.9,NA,NA,NA,NA,137.3,5,5,3.6,2.3,5.7,-2.7,-1.8,NA,NA,NA,0,0.6,0,0,0,0,NA,NA,6.300000000000001,6.300000000000001,5.799999999999999,5.799999999999999,5.299999999999999,5.299999999999999,NA,NA,0.6,5.6,0.6428571428571429,1.1400000000000001,-0.75,1.3888888888888888,1.5555555555555554,0
1275216,American Express Company,2013,9/30/2013,DFAST 2014,2,Supervisory Adverse,NA,16.2,13.9,12.8,16.2,12.5,14.7,17.6,14.4,10.7,13.2,10.4,NA,NA,NA,NA,132.9,8.9,8.2,22.6,14.5,11.5,11.1,7.1,NA,NA,NA,0,0,0,0,-0.4,-0.8,NA,NA,-3.3999999999999986,0.3000000000000007,-2.900000000000002,0.29999999999999893,-2.5,0.29999999999999893,NA,NA,0,8.9,2.539325842696629,1.2921348314606742,0.49115044247787604,0.3938053097345133,0.3938053097345133,-0.4
1275216,American Express Company,2013,9/30/2013,DFAST 2014,3,Supervisory Severely Adverse,NA,14,12.9,12.8,14,12.3,14.7,15.4,14.1,10.7,11.6,10.1,NA,NA,NA,NA,130.6,11.4,10.7,20.9,13.6,14.9,6,3.9,NA,NA,NA,0,0,0,0,-0.3,-0.7,NA,NA,-1.1999999999999993,0.5,-0.7000000000000011,0.5999999999999996,-0.9000000000000004,0.5999999999999996,NA,NA,0,11.4,1.8333333333333333,1.3070175438596492,0.28708133971291866,0.5454545454545455,0.5454545454545455,-0.39999999999999997
1074156,BB&T Corporation,2013,9/30/2013,DFAST 2014,2,Supervisory Adverse,NA,9.9,9.3,11.3,11.6,11,13.9,13.2,13,9,9.3,8.7,NA,NA,NA,NA,151.2,3.7,3.1,9.6,5.1,3.4,6,3.2,NA,NA,NA,0,0,0,0.2,0,0,NA,NA,-0.29999999999999893,0.3000000000000007,0.7000000000000011,0.9000000000000004,-0.3000000000000007,0.3000000000000007,NA,NA,0.2,3.9000000000000004,2.4615384615384612,0.9189189189189189,0.625,0.3854166666666667,0.40625000000000006,0
1074156,BB&T Corporation,2013,9/30/2013,DFAST 2014,3,Supervisory Severely Adverse,NA,8.1,8.1,11.3,9.8,9.8,13.9,11.6,11.6,9,8,8,NA,NA,NA,NA,147.4,5.2,4.5,7,3.8,5.5,1.4,0.8,NA,NA,NA,0,0,0,0.1,0,0,NA,NA,1.5,1.5,2.3000000000000007,2.3000000000000007,1,1,NA,NA,0.1,5.3,1.3207547169811322,1.0576923076923077,0.19999999999999998,0.7428571428571429,0.7571428571428571,0
1078529,"BBVA Compass Bancshares, Inc.",2013,9/30/2013,DFAST 2014,2,Supervisory Adverse,NA,11.1,10.8,11.8,11.1,10.9,14.1,12.8,12.8,10.2,9.5,9.5,NA,NA,NA,NA,59.7,1.8,3.6,2,2.7,1.7,0.2,0.3,NA,NA,NA,0,0,0,0.1,0,0,NA,NA,0.7000000000000011,0.9000000000000004,1.299999999999999,1.299999999999999,0.6999999999999993,0.6999999999999993,NA,NA,0.1,1.9000000000000001,1.0526315789473684,0.9444444444444444,0.1,0.9,0.9500000000000001,0
1078529,"BBVA Compass Bancshares, Inc.",2013,9/30/2013,DFAST 2014,3,Supervisory Severely Adverse,NA,8.6,8.6,11.8,8.6,8.6,14.1,10.6,10.6,10.2,7.5,7.5,NA,NA,NA,NA,58.4,2.6,5.2,1.2,1.6,2.8,-1.8,-2.5,NA,NA,NA,0,0,0,0.1,0,0,NA,NA,3.200000000000001,3.200000000000001,3.5,3.5,2.6999999999999993,2.6999999999999993,NA,NA,0.1,2.7,0.4444444444444444,1.0769230769230769,-1.5,2.166666666666667,2.2500000000000004,0
1245415,BMO Financial Corp.,2013,9/30/2013,DFAST 2014,2,Supervisory Adverse,NA,11.3,11.1,10.8,11.3,9.9,15.2,14.4,13.8,7.9,8.2,6.9,NA,NA,NA,NA,82.8,2.4,4.4,2.4,2.1,2.2,0,0,NA,NA,NA,0,0,0,0.2,0,0,NA,NA,-0.5,0.9000000000000004,0.7999999999999989,1.3999999999999986,-0.29999999999999893,1,NA,NA,0.2,2.6,0.923076923076923,0.9166666666666667,0,1,1.0833333333333335,0
1245415,BMO Financial Corp.,2013,9/30/2013,DFAST 2014,3,Supervisory Severely Adverse,NA,8.9,8.9,10.8,8.9,8.5,15.2,12.5,12.4,7.9,6.5,6,NA,NA,NA,NA,81.1,3.3,6.1,1.5,1.3,3.5,-2.1,-1.8,NA,NA,NA,0,0,0,0.2,0,0,NA,NA,1.9000000000000004,2.3000000000000007,2.6999999999999993,2.799999999999999,1.4000000000000004,1.9000000000000004,NA,NA,0.2,3.5,0.42857142857142855,1.0606060606060606,-1.4000000000000001,2.1999999999999997,2.3333333333333335,0
1073757,Bank of America Corporation,2013,9/30/2013,DFAST 2014,2,Supervisory Adverse,NA,9.6,8.5,12.3,10.3,8.8,15.4,12.5,11.4,7.8,6.6,5.7,NA,NA,NA,NA,1436.2,40,4.2,56.2,2.5,36.2,5.4,0.2,NA,NA,NA,0,0.6,8,6,-6.4,-10.8,NA,NA,2,3.5,2.9000000000000004,4,1.2000000000000002,2.0999999999999996,NA,NA,14.6,54.6,1.0293040293040294,0.905,0.09608540925266904,0.7117437722419928,0.9715302491103203,-4.4
1073757,Bank of America Corporation,2013,9/30/2013,DFAST 2014,3,Supervisory Severely Adverse,NA,6.8,6.8,12.3,6.8,6.8,15.4,9.2,9.2,7.8,4.4,4.4,NA,NA,NA,NA,1401.6,54.9,5.8,31.4,1.4,57,-49.1,-2.3,NA,NA,NA,0,0.5,15.8,7.1,-1.7,-3.5,NA,NA,5.500000000000001,5.500000000000001,6.200000000000001,6.200000000000001,3.3999999999999995,3.3999999999999995,NA,NA,23.4,78.3,0.40102171136653897,1.0382513661202186,-1.5636942675159238,1.7484076433121019,2.493630573248408,-1.8
2277860,Capital One Financial Corporation,2013,9/30/2013,DFAST 2014,2,Supervisory Adverse,NA,10.7,10,13.1,11,10.3,15.3,12.8,12.2,10.1,8.7,8.4,NA,NA,NA,NA,247,18,9.3,25.3,8.3,20.7,4.5,1.5,NA,NA,NA,0,0,0,0.1,-0.9,-1.4,NA,NA,2.0999999999999996,2.799999999999999,2.5,3.1000000000000014,1.4000000000000004,1.6999999999999993,NA,NA,0.1,18.1,1.3977900552486187,1.15,0.17786561264822134,0.7114624505928854,0.7154150197628459,-0.4999999999999999
2277860,Capital One Financial Corporation,2013,9/30/2013,DFAST 2014,3,Supervisory Severely Adverse,NA,8,8,13.1,8.4,8.4,15.3,10.1,10.1,10.1,6.7,6.7,NA,NA,NA,NA,241,22.8,11.8,21.2,7.1,26.9,-6,-2,NA,NA,NA,0,0.1,0,0.2,-0.3,-0.6,NA,NA,4.699999999999999,4.699999999999999,5.200000000000001,5.200000000000001,3.3999999999999995,3.3999999999999995,NA,NA,0.30000000000000004,23.1,0.9177489177489176,1.1798245614035088,-0.2830188679245283,1.0754716981132075,1.089622641509434,-0.3
1951350,Citigroup Inc.,2013,9/30/2013,DFAST 2014,2,Supervisory Adverse,NA,11.7,11.1,13.6,11.7,11.1,16.7,14.2,13.7,8.1,7,6.6,NA,NA,NA,NA,1204.7,43.4,6.5,46,2.3,39.4,-9.8,-0.5,NA,NA,NA,0,1.5,9.5,5.4,-7.2,-12.7,NA,NA,1.9000000000000004,2.5,2.5,3,1.0999999999999996,1.5,NA,NA,16.4,59.8,0.7692307692307693,0.9078341013824884,-0.21304347826086958,0.9434782608695652,1.3,-5.499999999999999
1951350,Citigroup Inc.,2013,9/30/2013,DFAST 2014,3,Supervisory Severely Adverse,NA,9.3,9.3,13.6,9.3,9.3,16.7,11.9,11.9,8.1,5.7,5.7,NA,NA,NA,NA,1180.9,55.5,8.4,32.5,1.7,55.7,-45.7,-2.4,NA,NA,NA,0,1.3,16.1,5.2,4.2,-7.7,NA,NA,4.299999999999999,4.299999999999999,4.799999999999999,4.799999999999999,2.3999999999999995,2.3999999999999995,NA,NA,22.6,78.10000000000001,0.4161331626120358,1.0036036036036036,-1.4061538461538463,1.7076923076923076,2.4030769230769233,-11.9
1199844,Comerica Incorporated,2013,9/30/2013,DFAST 2014,2,Supervisory Adverse,NA,10.2,10,10.7,10.2,10,13.4,11.5,11.5,10.9,10.2,10.2,NA,NA,NA,NA,69.2,1.3,3,1.9,2.8,1.2,0.7,1,NA,NA,NA,0,0,0,0,0,0,NA,NA,0.5,0.6999999999999993,1.9000000000000004,1.9000000000000004,0.7000000000000011,0.7000000000000011,NA,NA,0,1.3,1.4615384615384615,0.923076923076923,0.3684210526315789,0.6842105263157895,0.6842105263157895,0
1199844,Comerica Incorporated,2013,9/30/2013,DFAST 2014,3,Supervisory Severely Adverse,NA,8.4,8.4,10.7,8.4,8.4,13.4,10.2,10.2,10.9,8.6,8.6,NA,NA,NA,NA,67.6,2.1,4.7,1.1,1.7,2.3,-1.2,-1.7,NA,NA,NA,0,0,0,0,0,0,NA,NA,2.299999999999999,2.299999999999999,3.200000000000001,3.200000000000001,2.3000000000000007,2.3000000000000007,NA,NA,0,2.1,0.5238095238095238,1.0952380952380951,-1.0909090909090908,1.909090909090909,1.909090909090909,0
3846375,Discover Financial Services,2013,9/30/2013,DFAST 2014,2,Supervisory Adverse,NA,15.4,14.2,15.6,16.2,14.7,17.9,17.9,16.9,13.7,13.8,12.8,NA,NA,NA,NA,70,8.1,12.8,12.9,16.4,9.7,3.2,4.1,NA,NA,NA,0,0,0,0,0,0,NA,NA,-0.5999999999999996,0.9000000000000004,0,1,-0.10000000000000142,0.8999999999999986,NA,NA,0,8.1,1.5925925925925928,1.1975308641975309,0.24806201550387597,0.627906976744186,0.627906976744186,0
3846375,Discover Financial Services,2013,9/30/2013,DFAST 2014,3,Supervisory Severely Adverse,NA,13.1,12.5,15.6,13.9,13.3,17.9,15.7,15.2,13.7,12.1,11.9,NA,NA,NA,NA,68.8,9.5,15.2,12,15.5,11.4,0.6,0.7,NA,NA,NA,0,0,0,0,0,0,NA,NA,1.6999999999999993,2.299999999999999,2.1999999999999993,2.6999999999999993,1.5999999999999996,1.799999999999999,NA,NA,0,9.5,1.263157894736842,1.2,0.049999999999999996,0.7916666666666666,0.7916666666666666,0
1070345,Fifth Third Bancorp,2013,9/30/2013,DFAST 2014,2,Supervisory Adverse,NA,9.6,9.1,11.1,10.5,10,14.3,12.9,12.7,10.6,10,9.6,NA,NA,NA,NA,125.3,3.6,4,6.4,4.9,2.8,3.5,2.7,NA,NA,NA,0,0.1,0,0,0,0,NA,NA,0.5999999999999996,1.0999999999999996,1.4000000000000004,1.6000000000000014,0.5999999999999996,1,NA,NA,0.1,3.7,1.7297297297297298,0.7777777777777777,0.546875,0.5625,0.578125,0
1070345,Fifth Third Bancorp,2013,9/30/2013,DFAST 2014,3,Supervisory Severely Adverse,NA,7.9,7.9,11.1,8.7,8.7,14.3,11.8,11.8,10.6,8.5,8.5,NA,NA,NA,NA,122.4,4.8,5.5,4.7,3.7,4.5,0.1,0.1,NA,NA,NA,0,0.1,0,0,0,0,NA,NA,2.4000000000000004,2.4000000000000004,2.5,2.5,2.0999999999999996,2.0999999999999996,NA,NA,0.1,4.8999999999999995,0.9591836734693879,0.9375,0.02127659574468085,1.0212765957446808,1.0425531914893615,0
3232316,HSBC North America Holdings Inc.,2013,9/30/2013,DFAST 2014,2,Supervisory Adverse,NA,11.7,11.6,17.1,12.2,12.2,26.5,20.7,20.7,7.8,5.6,5.6,NA,NA,NA,NA,169.7,7.7,8.2,3,0.9,5.6,-3.2,-1,NA,NA,NA,0,0,0,0.5,-0.9,-1.5,NA,NA,4.900000000000002,4.900000000000002,5.800000000000001,5.800000000000001,2.2,2.2,NA,NA,0.5,8.2,0.3658536585365854,0.7272727272727272,-1.0666666666666667,2.566666666666667,2.733333333333333,-0.6
3232316,HSBC North America Holdings Inc.,2013,9/30/2013,DFAST 2014,3,Supervisory Severely Adverse,NA,9.4,9.4,17.1,9.4,9.4,26.5,18.2,18.2,7.8,4.4,4.4,NA,NA,NA,NA,164.8,10,10.8,-1.1,-0.3,8.5,-10.7,-3.4,NA,NA,NA,0,0.1,0,1.1,0.1,0.1,NA,NA,7.700000000000001,7.700000000000001,8.3,8.3,3.3999999999999995,3.3999999999999995,NA,NA,1.2000000000000002,11.2,-0.09821428571428573,0.85,9.727272727272727,-9.09090909090909,-10.18181818181818,0
1068191,Huntington Bancshares Incorporated,2013,9/30/2013,DFAST 2014,2,Supervisory Adverse,NA,9.6,9.4,12.4,10.5,10.3,14.7,12.7,12.7,10.9,9.2,9.2,NA,NA,NA,NA,53.7,1.6,3.6,2.3,3.8,1.6,0.4,0.6,NA,NA,NA,0,0,0,0.3,0,0,NA,NA,1.9000000000000004,2.0999999999999996,2,2,1.700000000000001,1.700000000000001,NA,NA,0.3,1.9000000000000001,1.2105263157894735,1,0.1739130434782609,0.6956521739130436,0.8260869565217392,0
1068191,Huntington Bancshares Incorporated,2013,9/30/2013,DFAST 2014,3,Supervisory Severely Adverse,NA,7.9,7.9,12.4,8.5,8.5,14.7,10.8,10.8,10.9,7.5,7.5,NA,NA,NA,NA,52.5,2.1,4.9,1.5,2.5,2.3,-1,-1.7,NA,NA,NA,0,0,0,0.2,0,0,NA,NA,3.9000000000000004,3.9000000000000004,3.8999999999999986,3.8999999999999986,3.4000000000000004,3.4000000000000004,NA,NA,0.2,2.3000000000000003,0.6521739130434782,1.0952380952380951,-0.6666666666666666,1.4000000000000001,1.5333333333333334,0
