bank_rssd_id,bank_name,observations,years,scenarios,cet1_rmse,cet1_mae,cet1_bias,cet1_correlation,max_abs_cet1_error,mean_abs_cet1_error,high_precision_share,acceptable_or_better_share,high_model_risk_observations,moderate_model_risk_observations,watchlist_observations,high_model_risk_share,moderate_or_high_model_risk_share,threshold_miss_observations,near_threshold_observations,mean_model_risk_score,max_model_risk_score,bank_model_risk_rank
3232316,HSBC North America Holdings Inc.,14,9,3,1.1591378477539218,0.9577694981173226,-0.1028882688933445,0.8879052779534427,2.197298415222813,0.9577694981173226,0.21428571428571427,0.6428571428571429,3,2,4,0.21428571428571427,0.35714285714285715,2,7,0.6194412442396313,0.9323588709677418,1
1111435,State Street Corporation,16,11,3,1.569426455716176,1.2020268555644325,0.014948433026854724,0.6579800052364078,4.465252648433869,1.2020268555644325,0.3125,0.5,2,6,0,0.125,0.5,1,2,0.5975617439516129,0.8837701612903226,2
1245415,BMO Financial Corp.,14,10,3,0.8293020768325866,0.6986953219973403,-0.01864608203680218,0.898741297484015,1.3868427348306476,0.6986953219973403,0.35714285714285715,0.6428571428571429,2,3,3,0.14285714285714285,0.35714285714285715,2,7,0.4896457373271889,0.8623991935483871,3
4846998,UBS Americas Holding LLC,12,9,3,1.0229083491098503,0.7775894369286663,0.07518171737724992,0.9612793016967023,2.1495337035991255,0.7775894369286663,0.5,0.75,1,2,0,0.08333333333333333,0.25,0,1,0.5346690188172043,0.8576612903225806,4
2277860,Capital One Financial Corporation,16,11,3,0.5984675000695866,0.4751920835689431,0.020364319406146414,0.9197397828333697,1.2112600018284931,0.4751920835689431,0.5625,0.8125,3,1,5,0.1875,0.25,3,8,0.5159463205645161,0.8333669354838709,5
2162966,Morgan Stanley,16,11,3,1.044642573458992,0.8322445723712917,0.02870591103575376,0.9025477355967246,2.2553280489634036,0.8322445723712918,0.375,0.625,1,5,0,0.0625,0.375,0,1,0.5549206149193548,0.8150201612903225,6
3846375,Discover Financial Services,11,7,3,0.9280717902121292,0.6870612280618821,2.4222863002814924e-15,0.873101382596075,2.278019654806103,0.6870612280618821,0.45454545454545453,0.7272727272727273,1,2,0,0.09090909090909091,0.2727272727272727,0,0,0.5016678885630498,0.8105846774193548,7
3587146,The Bank of New York Mellon Corporation,16,11,3,0.9426595286581165,0.8157117267948312,-0.05419384044129483,0.4993579002635467,1.5517826825085963,0.8157117267948312,0.3125,0.625,0,6,0,0,0.375,0,0,0.5670488911290322,0.8028225806451612,8
2380443,"The Goldman Sachs Group, Inc.",16,11,3,1.1002585316813334,0.9117777138828469,-0.07905531715820868,0.8023246939892675,2.076272042252157,0.9117777138828469,0.375,0.5625,1,6,1,0.0625,0.4375,0,3,0.5664944556451613,0.7932459677419355,9
1574834,"Credit Suisse Holdings (USA), Inc.",9,6,3,1.3542142582994228,0.960232230795242,0.014749117141388664,0.8192630449467715,3.3509616556795336,0.960232230795242,0.4444444444444444,0.5555555555555556,1,3,0,0.1111111111111111,0.4444444444444444,0,0,0.5484431003584229,0.7856854838709677,10
1069778,"The PNC Financial Services Group, Inc.",16,11,3,0.6439144926841391,0.48883353563977483,0.019929940989014017,0.7904331889426015,1.5668133338215204,0.48883353563977483,0.6875,0.875,1,1,6,0.0625,0.125,1,7,0.4164944556451613,0.7780241935483871,11
3606542,TD Group US Holdings LLC,16,11,3,0.8375786004358661,0.7173087574573596,0.027498041869074674,0.9144581635544712,1.866623633754596,0.7173087574573596,0.375,0.875,0,2,0,0,0.125,0,0,0.5219191028225806,0.7775201612903226,12
2816906,DB USA Corporation,12,9,3,2.442131209462194,1.9454974732020822,0.849135373886282,0.81081924810306,5.0721321569668625,1.9454974732020822,0.08333333333333333,0.4166666666666667,5,2,0,0.4166666666666667,0.5833333333333334,0,0,0.6426831317204301,0.7482862903225806,13
1068025,KeyCorp,12,8,3,0.5886617346757702,0.41909408412083754,-7.401532005924897e-16,0.8389328404650606,1.3043717233216654,0.4190940841208376,0.75,0.8333333333333334,1,1,7,0.08333333333333333,0.16666666666666666,1,8,0.3964549731182796,0.7461693548387097,14
1119794,U.S. Bancorp,16,11,3,0.41202397502987737,0.3603098077519076,0.005759035309923943,0.9127659232941913,0.9008573963999762,0.3603098077519076,0.75,1,2,0,5,0.125,0.125,2,7,0.42458417338709675,0.7454637096774194,15
1037003,M&T Bank Corporation,14,10,3,0.40774253364141705,0.3368494459212911,5.709728092734488e-16,0.9719577959723338,0.91751079685955,0.3368494459212911,0.7142857142857143,1,0,0,9,0,0,0,9,0.44182027649769584,0.7434475806451613,16
1027004,Zions Bancorporation,4,2,2,0.44762250257901687,0.3652071041788014,-8.881784197001252e-16,0.9728673081491717,0.7304142083576011,0.3652071041788014,0.75,1,1,0,0,0.25,0.25,1,1,0.44400201612903223,0.7361895161290323,17
1068191,Huntington Bancshares Incorporated,12,8,3,0.6980343154189403,0.5215961103631296,4.440892098500626e-16,0.782192937123449,1.6203234798177686,0.5215961103631296,0.75,0.8333333333333334,1,2,5,0.08333333333333333,0.25,1,8,0.4459929435483871,0.7280241935483871,18
1026632,The Charles Schwab Corporation,5,5,1,0.7406714678573344,0.6407413093594101,-0.4392000000000024,0.9941664943391816,1.340771895404906,0.6407413093594101,0.4,0.8,0,1,0,0,0.2,0,0,0.4871370967741935,0.7124999999999999,19
1951350,Citigroup Inc.,16,11,3,0.7421967177446319,0.6076009582620523,0.03853756138549985,0.7807920983406328,1.5727911583409684,0.6076009582620522,0.4375,0.875,0,2,0,0,0.125,0,1,0.4391570060483871,0.7094758064516129,20
1275216,American Express Company,13,9,3,0.9927477890233776,0.832521646955119,-1.4347664349336251e-15,0.8082760341908524,1.80490161276588,0.832521646955119,0.3076923076923077,0.6923076923076923,0,4,1,0,0.3076923076923077,0,1,0.5599488213399504,0.7085685483870968,21
1199611,Northern Trust Corporation,16,11,3,0.916239429941766,0.7140219762885297,-0.024483465492024403,0.6521863930187671,2.19892765830706,0.7140219762885297,0.4375,0.75,1,3,0,0.0625,0.25,0,0,0.4599609375,0.7028225806451613,22
1575569,"BNP Paribas USA, Inc.",6,4,3,0.5475857545172835,0.47273006031676185,2.8125500314683284e-15,0.9696016727279059,0.7698624020532518,0.47273006031676185,0.3333333333333333,1,0,0,1,0,0,0,1,0.39833669354838713,0.6827620967741936,23
5006575,Barclays US LLC,12,9,3,0.7864320227293793,0.6990468602817951,0.04229439604883541,0.9247395630255885,1.3651595509558518,0.6990468602817951,0.16666666666666666,0.8333333333333334,0,2,0,0,0.16666666666666666,0,0,0.49212869623655914,0.6550403225806452,24
1562859,Ally Financial Inc.,12,8,3,0.40001128817856424,0.3186603687131375,-9.843979743764247e-15,0.8787138314333308,0.862547714434517,0.3186603687131375,0.8333333333333334,1,2,0,8,0.16666666666666666,0.16666666666666666,2,10,0.38403897849462365,0.6548387096774194,25
