bank_rssd_id,bank_name,exercise_year,scenario_code,scenario_label,actual_capital_depletion,predicted_capital_depletion,residual_capital_depletion,predicted_cet1_min_ratio,cet1_actual_ratio,cet1_min_ratio,total_loan_losses_amount,ppnr_amount,rwa_actual_amount,rwa_end_amount,source_rows_collapsed_capital,actual_credit_loss_ratio,predicted_credit_loss_ratio,residual_credit_loss_ratio,total_loan_losses_amount_credit,rwa_actual_amount_credit,ppnr_amount_credit,source_rows_collapsed_credit,actual_ppnr_ratio,predicted_ppnr_ratio,residual_ppnr_ratio,ppnr_amount_ppnr,rwa_actual_amount_ppnr,total_loan_losses_amount_ppnr,pretax_net_income_amount,source_rows_collapsed_ppnr,observed_cet1_min_ratio,integrated_predicted_cet1_min_ratio,integrated_predicted_cet1_gap,integrated_capital_depletion_gap,integrated_credit_loss_gap,integrated_ppnr_gap,predicted_credit_loss_amount,predicted_ppnr_amount,actual_credit_loss_to_ppnr_ratio,predicted_credit_loss_to_ppnr_ratio,predicted_net_stress_margin,actual_net_stress_margin,predicted_rwa_growth,model_stack_id,predicted_cet1_depletion,observed_cet1_depletion,predicted_cet1_buffer_above_4_5,observed_cet1_buffer_above_4_5,predicted_cet1_buffer_above_7,observed_cet1_buffer_above_7,predicted_cet1_below_4_5,predicted_cet1_below_7,observed_cet1_below_4_5,observed_cet1_below_7,predicted_capital_pressure_score,predicted_low_cet1_score,predicted_credit_loss_score,predicted_ppnr_weakness_score,predicted_net_margin_weakness_score,composite_vulnerability_score,vulnerability_bucket,capital_result_flag,cet1_min_prediction_error,cet1_depletion_prediction_error,credit_loss_prediction_error,ppnr_prediction_error,abs_cet1_min_prediction_error,abs_cet1_depletion_prediction_error,abs_credit_loss_prediction_error,abs_ppnr_prediction_error,cet1_min_error_bucket,cet1_min_validation_flag,observed_below_4_5,predicted_below_4_5,observed_below_7,predicted_below_7,classification_match_4_5,classification_match_7,cet1_abs_error_percentile,capital_depletion_abs_error_percentile,credit_loss_abs_error_percentile,ppnr_abs_error_percentile,severe_cet1_error,moderate_or_worse_cet1_error,tail_error_flag,threshold_miss_flag,near_7_threshold,near_4_5_threshold,conservative_projection,optimistic_projection,model_risk_bucket,model_risk_score
2816906,DB USA Corporation,2023,3,Supervisory Severely Adverse,9.251,8.227867843033135,1.0231321569668648,19.572132156966862,27.8,14.5,0.7,-1.7,37.3,33.6,1,0.01876675603217158,0.02097235653741523,-0.00220560050524365,0.7,37.3,-1.7,1,-0.01092412612187057,-0.00461093959811877,-0.00631318652375179,-1.7,37.3,0.7,-4,1,14.5,19.572132156966862,5.072132156966866,-1.0231321569668648,0.00220560050524365,0.0063131865237518,0.782268898845588,-0.17198804700983011,-1.7179182868092056,-4.548391079764263,-0.025583296135534,-0.02969088215404215,-0.09919571045576396,M5_bank_year_fixed_effects | M5_bank_year_fixed_effects | M6_bank_year_fixed_effects,8.227867843033138,13.3,15.072132156966862,10,12.572132156966862,7.5,FALSE,FALSE,FALSE,FALSE,0.997983870967742,0.03024193548387099,0.1935483870967742,0.9879032258064516,0.8951612903225806,0.4870967741935484,Moderate vulnerability,Above reference levels,5.0721321569668625,-1.0231321569668648,0.00220560050524365,0.0063131865237518,5.0721321569668625,1.0231321569668648,0.00220560050524365,0.0063131865237518,Error > 2.00 pp,Large deviation,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,0.8346774193548387,0.3870967741935484,0.6270161290322581,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,High model risk,0.6690524193548388
1111435,State Street Corporation,2017,3,Supervisory Severely Adverse,6.6000000000000005,2.134747351566132,4.465252648433868,9.765252648433869,11.9,5.3,0.8,5.9,102.7,104.2,1,0.00778967867575462,0.00959635328245814,-0.00180667460670352,0.8,102.7,5.9,1,0.05744888023369036,0.04206073578241261,0.01538814445127775,5.9,102.7,0.8,1,1,5.3,9.765252648433869,4.465252648433869,-4.465252648433868,0.00180667460670352,-0.01538814445127775,0.985545482108451,4.3196375648537755,0.13559322033898297,0.22815466976378443,0.03246438249995447,0.04965920155793574,0.01460564751703992,M5_bank_year_fixed_effects | M5_bank_year_fixed_effects | M6_bank_year_fixed_effects,2.1347473515661317,6.6000000000000005,5.265252648433869,0.7999999999999998,2.7652526484338686,-1.7000000000000002,FALSE,FALSE,FALSE,TRUE,0.44556451612903225,0.5,0.06854838709677419,0.41129032258064513,0.11895161290322576,0.353125,Low vulnerability,Above reference levels,4.465252648433869,-4.465252648433868,0.00180667460670352,-0.01538814445127775,4.465252648433869,4.465252648433868,0.00180667460670352,0.01538814445127775,Error > 2.00 pp,Large deviation,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.9979838709677419,1,0.31451612903225806,0.9153225806451613,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,High model risk,0.8837701612903226
2816906,DB USA Corporation,2024,3,Supervisory Severely Adverse,9.251,6.921120019735051,2.3298799802649484,16.778879980264946,23.7,12.7,0.6,-1,43.9,39.6,1,0.01366742596810934,0.01662547796455368,-0.00295805199644434,0.6,43.9,-1,1,-0.01092412612187057,-0.00163377284176129,-0.00929035328010927,-1,43.9,0.6,-3.5,1,12.7,16.778879980264946,4.078879980264947,-2.3298799802649484,0.00295805199644434,0.00929035328010928,0.7298584826439065,-0.07172262775332063,-1.2511230477966164,-10.17612579887824,-0.01825925080631497,-0.0245915520899799,-0.09794988610478354,M5_bank_year_fixed_effects | M5_bank_year_fixed_effects | M6_bank_year_fixed_effects,6.921120019735053,11,12.278879980264946,8.2,9.778879980264946,5.699999999999999,FALSE,FALSE,FALSE,FALSE,0.9758064516129032,0.05846774193548387,0.1310483870967742,0.9818548387096774,0.8044354838709677,0.4692540322580645,Moderate vulnerability,Above reference levels,4.078879980264947,-2.3298799802649484,0.00295805199644434,0.00929035328010928,4.078879980264947,2.3298799802649484,0.00295805199644434,0.00929035328010928,Error > 2.00 pp,Large deviation,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.9959677419354839,0.9939516129032258,0.49798387096774194,0.7681451612903226,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,High model risk,0.7372983870967742
2816906,DB USA Corporation,2020,30,Supervisory Alternative Severe,9.251,8.597576609127001,0.65342339087299806,22.902423390872997,31.5,19.5,0.8,-0.7,32,29,1,0.025,0.02073670791067901,0.00426329208932098,0.8,32,-0.7,1,-0.01092412612187057,0.00140365697343259,-0.01232778309530316,-0.7,32,0.8,-2.6,1,19.5,22.902423390872997,3.402423390872997,-0.65342339087299806,-0.00426329208932099,0.01232778309530316,0.6635746531417284,0.04491702314984288,-2.2885125749279775,14.77334441617041,-0.01933305093724642,-0.03592412612187057,-0.09375,M5_bank_year_fixed_effects | M5_bank_year_fixed_effects | M6_bank_year_fixed_effects,8.597576609127003,12,18.402423390872997,15,15.902423390872997,12.5,FALSE,FALSE,FALSE,FALSE,1,0.0161290322580645,0.1895161290322581,0.9778225806451613,0.8165322580645161,0.4729838709677419,Moderate vulnerability,Above reference levels,3.402423390872997,-0.65342339087299806,-0.00426329208932099,0.01232778309530316,3.402423390872997,0.65342339087299806,0.00426329208932099,0.01232778309530316,Error > 2.00 pp,Large deviation,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.9939516129032258,0.6733870967741935,0.6512096774193549,0.8568548387096774,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,High model risk,0.7087701612903226
1574834,"Credit Suisse Holdings (USA), Inc.",2021,3,Supervisory Severely Adverse,7.5,4.149038344320465,3.3509616556795354,23.450961655679535,27.6,20.1,0.1,4.9,58.9,55.7,1,0.00169779286926994,0.00554372907751415,-0.00384593620824421,0.1,58.9,4.9,1,0.08319185059422751,0.03474882160847287,0.04844302898575464,4.9,58.9,0.1,0.6,1,20.1,23.450961655679535,3.3509616556795336,-3.3509616556795354,0.00384593620824421,-0.04844302898575464,0.3265256426655834,2.046705592739052,0.02040816326530601,0.1595371820079911,0.02920509253095871,0.08149405772495757,-0.0543293718166383,M5_bank_year_fixed_effects | M5_bank_year_fixed_effects | M6_bank_year_fixed_effects,4.149038344320466,7.5,18.950961655679535,15.6,16.450961655679535,13.1,FALSE,FALSE,FALSE,FALSE,0.8104838709677419,0.01411290322580649,0.04637096774193548,0.6108870967741935,0.14314516129032262,0.29223790322580645,Low vulnerability,Above reference levels,3.3509616556795336,-3.3509616556795354,0.00384593620824421,-0.04844302898575464,3.3509616556795336,3.3509616556795354,0.00384593620824421,0.04844302898575464,Error > 2.00 pp,Large deviation,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.9919354838709677,0.9979838709677419,0.594758064516129,0.9979838709677419,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,High model risk,0.7856854838709677
2816906,DB USA Corporation,2017,3,Supervisory Severely Adverse,4.300000000000001,6.903437608198596,-2.603437608198595,9.596562391801404,16.5,12.2,0.4,0.4,44.1,43.9,1,0.00907029478458049,0.01231637293151711,-0.00324607814693662,0.4,44.1,0.4,1,0.00907029478458049,-0.00176074306561309,0.01083103785019358,0.4,44.1,0.4,-1,1,12.2,9.596562391801404,-2.603437608198595,2.603437608198595,0.00324607814693662,-0.01083103785019358,0.5431520462799047,-0.07764876919353728,1,-6.9949859079686645,-0.0140771159971302,0,-0.00453514739229031,M5_bank_year_fixed_effects | M5_bank_year_fixed_effects | M6_bank_year_fixed_effects,6.903437608198596,4.300000000000001,5.096562391801404,7.699999999999999,2.596562391801404,5.199999999999999,FALSE,FALSE,FALSE,FALSE,0.9737903225806452,0.5423387096774194,0.08669354838709678,0.9838709677419356,0.7560483870967742,0.6245967741935483,High vulnerability,Above reference levels,-2.603437608198595,2.603437608198595,0.00324607814693662,-0.01083103785019358,2.603437608198595,2.603437608198595,0.00324607814693662,0.01083103785019358,Error > 2.00 pp,Large deviation,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.9899193548387096,0.9959677419354839,0.5262096774193549,0.8245967741935484,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,High model risk,0.7482862903225806
3846375,Discover Financial Services,2021,3,Supervisory Severely Adverse,1.1000000000000014,3.378019654806104,-2.2780196548061027,11.421980345193896,14.8,13.7,15.3,15.2,97.2,97.9,1,0.15634525205158237,0.1414091958374844,0.01493605621409796,15.3,97.2,15.2,1,0.15637860082304525,0.16690369494156282,-0.01052509411851757,15.2,97.2,15.3,1.9,1,13.7,11.421980345193896,-2.278019654806103,2.2780196548061027,-0.01493605621409796,0.01052509411851757,13.744973835403483,16.223039148319906,0.9997867433824874,0.8472502414460945,0.02549449910407841,3.3348771462882176e-5,0.007201646090535,M5_bank_year_fixed_effects | M5_bank_year_fixed_effects | M6_bank_year_fixed_effects,3.378019654806105,1.1000000000000014,6.921980345193896,9.2,4.421980345193896,6.699999999999999,FALSE,FALSE,FALSE,FALSE,0.6794354838709677,0.25604838709677424,0.9919354838709676,0.00604838709677424,0.16935483870967738,0.4754032258064516,Moderate vulnerability,Above reference levels,-2.278019654806103,2.2780196548061027,-0.01493605621409796,0.01052509411851757,2.278019654806103,2.2780196548061027,0.01493605621409796,0.01052509411851757,Error > 2.00 pp,Large deviation,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.9879032258064516,0.9919354838709677,0.967741935483871,0.8084677419354839,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,High model risk,0.8105846774193548
2162966,Morgan Stanley,2017,3,Supervisory Severely Adverse,9.2,6.944671951036597,2.2553280489634027,9.555328048963403,16.5,7.3,4.6,3,369.6,382.5,1,0.01244588744588744,0.0155006983950591,-0.00305481094917166,4.6,369.6,3,1,0.00811688311688311,0.03042715605055934,-0.02231027293367623,3,369.6,4.6,-20.8,1,7.3,9.555328048963403,2.2553280489634036,-2.2553280489634027,0.00305481094917165,0.02231027293367623,5.729058126813844,11.245876876286731,1.533333333333334,0.509436319625217,0.01492645765550023,-0.00432900432900433,0.03490259740259734,M5_bank_year_fixed_effects | M5_bank_year_fixed_effects | M6_bank_year_fixed_effects,6.944671951036597,9.2,5.055328048963403,2.8,2.5553280489634034,0.2999999999999998,FALSE,FALSE,FALSE,FALSE,0.9778225806451613,0.5544354838709677,0.11088709677419356,0.7379032258064516,0.27419354838709675,0.5618951612903226,Moderate vulnerability,Above reference levels,2.2553280489634036,-2.2553280489634027,0.00305481094917165,0.02231027293367623,2.2553280489634036,2.2553280489634027,0.00305481094917165,0.02231027293367623,Error > 2.00 pp,Large deviation,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.9858870967741935,0.9899193548387096,0.5060483870967742,0.9737903225806451,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,High model risk,0.8150201612903225
1199611,Northern Trust Corporation,2018,2,Supervisory Adverse,1.5999999999999996,-0.5989276583070604,2.19892765830706,13.49892765830706,12.9,11.3,0.9,2.8,67.8,70.6,1,0.01327433628318584,0.01100477888327206,0.00226955739991377,0.9,67.8,2.8,1,0.04129793510324484,0.04330255403563841,-0.00200461893239357,2.8,67.8,0.9,1.6,1,11.3,13.49892765830706,2.19892765830706,-2.19892765830706,-0.00226955739991378,0.00200461893239357,0.7461240082858456,2.935913163616284,0.32142857142857145,0.25413694707741774,0.03229777515236635,0.02802359882005899,0.04129793510324479,M5_bank_year_fixed_effects | M5_bank_year_fixed_effects | M6_bank_year_fixed_effects,-0.5989276583070602,1.5999999999999996,8.99892765830706,6.800000000000001,6.4989276583070605,4.300000000000001,FALSE,FALSE,FALSE,FALSE,0.01612903225806451,0.12298387096774188,0.07459677419354839,0.36693548387096775,0.12096774193548387,0.11078629032258064,Very low vulnerability,Above reference levels,2.19892765830706,-2.19892765830706,-0.00226955739991378,0.00200461893239357,2.19892765830706,2.19892765830706,0.00226955739991378,0.00200461893239357,Error > 2.00 pp,Large deviation,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.9838709677419355,0.9879032258064516,0.40524193548387094,0.25806451612903225,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,High model risk,0.6414314516129033
3232316,HSBC North America Holdings Inc.,2016,3,Supervisory Severely Adverse,4.999999999999998,7.19729841522281,-2.1972984152228117,10.702701584777188,17.9,12.9,3.9,-1.4,139.9,143,1,0.02787705503931379,0.0321108736703144,-0.00423381863100061,3.9,139.9,-1.4,1,-0.01000714796283059,0.00505591207623739,-0.01506306003906798,-1.4,139.9,3.9,-5.2,1,12.9,10.702701584777188,-2.197298415222813,2.1972984152228117,0.00423381863100061,0.01506306003906798,4.492311226476985,0.7073220994656109,-2.785714285714286,6.351153498343926,-0.02705496159407701,-0.03788420300214438,0.02215868477483913,M5_bank_year_fixed_effects | M5_bank_year_fixed_effects | M6_bank_year_fixed_effects,7.197298415222811,4.999999999999998,6.202701584777188,8.4,3.702701584777188,5.9,FALSE,FALSE,FALSE,FALSE,0.9838709677419356,0.344758064516129,0.36693548387096775,0.9637096774193548,0.9032258064516128,0.6267137096774194,High vulnerability,Above reference levels,-2.197298415222813,2.1972984152228117,0.00423381863100061,0.01506306003906798,2.197298415222813,2.1972984152228117,0.00423381863100061,0.01506306003906798,Error > 2.00 pp,Large deviation,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.9818548387096774,0.9858870967741935,0.6491935483870968,0.9133064516129032,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,High model risk,0.7752016129032258
