bank_rssd_id,bank_name,exercise_year,exercise_quarter,exercise_name_std,scenario_code,scenario_label,cet1_actual_ratio,cet1_end_ratio,cet1_min_ratio,tier1_actual_ratio,tier1_end_ratio,tier1_min_ratio,total_capital_actual_ratio,total_capital_end_ratio,total_capital_min_ratio,tier1_leverage_actual_ratio,tier1_leverage_end_ratio,tier1_leverage_min_ratio,supp_leverage_actual_ratio,supp_leverage_end_ratio,supp_leverage_min_ratio,rwa_actual_amount,rwa_end_amount,total_loan_losses_amount,total_loan_losses_rate,ppnr_amount,ppnr_rate,provision_amount,pretax_net_income_amount,pretax_net_income_rate,net_interest_income_amount,noninterest_income_amount,noninterest_expense_amount,other_revenue_amount,securities_losses_amount,trading_counterparty_losses_amount,other_losses_amount,aoci_actual_amount,aoci_end_amount,cet1_depletion_end,cet1_depletion_min,tier1_depletion_end,tier1_depletion_min,total_capital_depletion_end,total_capital_depletion_min,leverage_depletion_end,leverage_depletion_min,rwa_change_amount,rwa_growth_rate,total_market_operational_losses_amount,total_observed_losses_amount,ppnr_loss_absorption_ratio,provision_to_loan_loss_ratio,pretax_income_to_ppnr_ratio,loan_loss_burden_on_ppnr,observed_loss_burden_on_ppnr,aoci_change_amount,y_credit_loss_ratio,y_credit_loss_rate,y_ppnr_ratio,y_ppnr_rate,y_capital_depletion,y_pretax_margin,x_initial_cet1,x_initial_rwa,x_rwa_growth,x_ppnr_absorption,x_loan_loss_burden,x_observed_loss_burden,x_provision_ratio,x_ppnr_to_losses,credit_loss_model_sample,ppnr_model_sample,capital_model_sample,full_core_model_sample,y_credit_loss_ratio_winsor,y_credit_loss_rate_winsor,y_ppnr_ratio_winsor,y_ppnr_rate_winsor,y_capital_depletion_winsor,y_pretax_margin_winsor,x_rwa_growth_winsor,x_ppnr_absorption_winsor,x_loan_loss_burden_winsor,x_observed_loss_burden_winsor,x_provision_ratio_winsor,x_ppnr_to_losses_winsor,bank_factor,year_factor,scenario_factor,log_rwa_actual,log_ppnr_amount,log_total_loan_losses,y_ppnr_ratio_model,y_ppnr_rate_model,x_initial_cet1_model,x_rwa_growth_model,x_loss_burden_model,x_observed_loss_burden_model,x_provision_ratio_model
NA,33 participating bank holding companies,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,12.3,10.5,10.5,13.5,11.8,11.8,16.2,14,14,9.2,8,8,NA,NA,NA,9595.1,10673.1,252,4,474.8,3.1,262.6,141.6,0.9,NA,NA,NA,1.6,5.2,52.6,14.4,-37,-60.3,1.8000000000000007,1.8000000000000007,1.6999999999999993,1.6999999999999993,2.1999999999999993,2.1999999999999993,1.1999999999999993,1.1999999999999993,1078,0.11234901147460682,72.2,324.2,1.4645280690931524,1.042063492063492,0.2982308340353833,0.5307497893850042,0.6828138163437236,-23.299999999999997,0.02626340527977821,4,0.04948359058269325,3.1,1.8000000000000007,0.01475753249054204,12.3,9595.1,0.11234901147460682,1.4645280690931524,0.5307497893850042,0.6828138163437236,1.042063492063492,1.884126984126984,1,1,1,1,0.02626340527977821,4,0.04948359058269325,3.1,1.8000000000000007,0.01475753249054204,0.11234901147460682,1.4645280690931524,0.5307497893850042,0.6828138163437236,1.042063492063492,1.884126984126984,33 participating bank holding companies,2015,Supervisory Adverse,9.169007830482332,6.164997597868857,5.53338948872752,0.04948359058269325,3.1,12.3,0.11234901147460682,0.5307497893850042,0.6828138163437236,1.042063492063492
NA,33 participating bank holding companies,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,12.3,8.4,8.4,13.5,9.8,9.8,16.2,12.3,12.3,9.2,6.7,6.7,NA,NA,NA,9595.1,10518.2,384.9,6.1,383.6,2.5,438.6,-195,-1.3,NA,NA,NA,1.6,11.3,113,17.3,-37,-32.2,3.9,3.9,3.6999999999999993,3.6999999999999993,3.8999999999999986,3.8999999999999986,2.499999999999999,2.499999999999999,923.1000000000004,0.09620535481652095,141.6,526.5,0.728584995251662,1.1395167575993763,-0.5083420229405631,1.0033889468196036,1.3725234619395204,4.799999999999997,0.04011422496899459,6.1,0.03997873914810684,2.5,3.9,-0.02032287313316171,12.3,9595.1,0.09620535481652095,0.728584995251662,1.0033889468196036,1.3725234619395204,1.1395167575993763,0.9966224993504808,1,1,1,1,0.04011422496899459,6.1,0.03997873914810684,2.5,3.9,-0.02032287313316171,0.09620535481652095,0.728584995251662,1.0033889468196036,1.3725234619395204,1.1395167575993763,0.9966224993504808,33 participating bank holding companies,2015,Supervisory Severely Adverse,9.169007830482332,5.952203833154679,5.955578268543573,0.03997873914810684,2.5,12.3,0.09620535481652095,1.0033889468196036,1.3725234619395204,1.1395167575993763
1562859,Ally Financial Inc.,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,9.2,8.1,8.1,11.1,10.2,10.2,12.5,11.9,11.9,9.7,8.9,8.9,NA,NA,NA,135.8,149.5,4.1,3.6,5.4,3.2,4.9,0.1,0.1,NA,NA,NA,0,0.3,0,0,0,0,1.0999999999999996,1.0999999999999996,0.9000000000000004,0.9000000000000004,0.5999999999999996,0.5999999999999996,0.7999999999999989,0.7999999999999989,13.699999999999989,0.10088365243004407,0.3,4.3999999999999995,1.2272727272727275,1.1951219512195124,0.01851851851851851,0.7592592592592592,0.8148148148148147,0,0.03019145802650956,3.6,0.03976435935198821,3.2,1.0999999999999996,7.363770250368188e-4,9.2,135.8,0.10088365243004407,1.2272727272727275,0.7592592592592592,0.8148148148148147,1.1951219512195124,1.3170731707317076,1,1,1,1,0.03019145802650956,3.6,0.03976435935198821,3.2,1.0999999999999996,7.363770250368188e-4,0.10088365243004407,1.2272727272727275,0.7592592592592592,0.8148148148148147,1.1951219512195124,1.3170731707317076,Ally Financial Inc.,2015,Supervisory Adverse,4.911183215124596,1.8562979903656263,1.62924053973028,0.03976435935198821,3.2,9.2,0.10088365243004407,0.7592592592592592,0.8148148148148147,1.1951219512195124
1562859,Ally Financial Inc.,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,9.2,6.1,6.1,11.1,8.3,8.3,12.5,10,10,9.7,7.2,7.2,NA,NA,NA,135.8,146.7,6.1,5.3,4.8,2.9,7.4,-3.2,-1.9,NA,NA,NA,0,0.5,0,0,0,0,3.0999999999999996,3.0999999999999996,2.799999999999999,2.799999999999999,2.5,2.5,2.499999999999999,2.499999999999999,10.899999999999975,0.08026509572901308,0.5,6.6,0.7272727272727273,1.213114754098361,-0.6666666666666667,1.2708333333333333,1.375,0,0.04491899852724594,5.3,0.0353460972017673,2.9,3.0999999999999996,-0.0235640648011782,9.2,135.8,0.08026509572901308,0.7272727272727273,1.2708333333333333,1.375,1.213114754098361,0.7868852459016393,1,1,1,1,0.04491899852724594,5.3,0.0353460972017673,2.9,3.0999999999999996,-0.0235640648011782,0.08026509572901308,0.7272727272727273,1.2708333333333333,1.375,1.213114754098361,0.7868852459016393,Ally Financial Inc.,2015,Supervisory Severely Adverse,4.911183215124596,1.7578579175523736,1.9600947840472698,0.0353460972017673,2.9,9.2,0.08026509572901308,1.2708333333333333,1.375,1.213114754098361
1275216,American Express Company,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,12.4,14.3,11.7,13.5,15.5,12.9,15.2,17.1,14.6,11.7,12.4,11.3,NA,NA,NA,135.2,139.1,8.1,7.4,20.1,11.8,10.4,10.8,6.3,NA,NA,NA,1.3,0,0,0.2,-2.2,-2.6,-1.9000000000000004,0.7000000000000011,-2,0.5999999999999996,-1.900000000000002,0.5999999999999996,-0.7000000000000011,0.3999999999999986,3.9000000000000057,0.02884615384615389,0.2,8.299999999999999,2.421686746987952,1.2839506172839508,0.5373134328358209,0.4029850746268656,0.4129353233830845,-0.3999999999999999,0.05991124260355029,7.4,0.14866863905325445,11.8,0.7000000000000011,0.07988165680473373,12.4,135.2,0.02884615384615389,2.421686746987952,0.4029850746268656,0.4129353233830845,1.2839506172839508,2.481481481481482,1,1,1,1,0.05991124260355029,7.4,0.14866863905325445,11.8,0.7000000000000011,0.07522233029337666,0.02884615384615389,2.421686746987952,0.4029850746268656,0.4129353233830845,1.2839506172839508,2.481481481481482,American Express Company,2015,Supervisory Adverse,4.906755163608864,3.0492730404820207,2.2082744135228043,0.14866863905325445,11.8,12.4,0.02884615384615389,0.4029850746268656,0.4129353233830845,1.2839506172839508
1275216,American Express Company,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,12.4,12.3,11.4,13.5,13.4,12.6,15.2,15.1,14.3,11.7,10.9,10.9,NA,NA,NA,135.2,138.8,10.6,9.8,19.2,11.4,13.9,6.2,3.7,NA,NA,NA,1.3,0,0,0.4,-2.2,-2.5,0.09999999999999964,1,0.09999999999999964,0.9000000000000004,0.09999999999999964,0.8999999999999986,0.7999999999999989,0.7999999999999989,3.6000000000000227,0.02662721893491141,0.4,11,1.7454545454545454,1.3113207547169812,0.3229166666666667,0.5520833333333334,0.5729166666666667,-0.2999999999999998,0.07840236686390532,9.8,0.14201183431952663,11.4,1,0.04585798816568048,12.4,135.2,0.02662721893491141,1.7454545454545454,0.5520833333333334,0.5729166666666667,1.3113207547169812,1.8113207547169812,1,1,1,1,0.07840236686390532,9.8,0.14201183431952663,11.4,1,0.04585798816568048,0.02662721893491141,1.7454545454545454,0.5520833333333334,0.5729166666666667,1.3113207547169812,1.8113207547169812,American Express Company,2015,Supervisory Severely Adverse,4.906755163608864,3.005682604407159,2.451005098112319,0.14201183431952663,11.4,12.4,0.02662721893491141,0.5520833333333334,0.5729166666666667,1.3113207547169812
1074156,BB&T Corporation,2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,10.3,8.9,8.9,11.8,10.5,10.5,14.3,12.4,12.4,9.8,8.5,8.5,NA,NA,NA,166.6,189.5,4.5,3.1,8.6,3.7,5,3.6,1.6,NA,NA,NA,0,0,0,0,0,0,1.4000000000000004,1.4000000000000004,1.3000000000000007,1.3000000000000007,1.9000000000000004,1.9000000000000004,1.3000000000000007,1.3000000000000007,22.90000000000001,0.13745498199279715,0,4.5,1.911111111111111,1.1111111111111112,0.4186046511627907,0.5232558139534884,0.5232558139534884,0,0.02701080432172869,3.1,0.05162064825930372,3.7,1.4000000000000004,0.02160864345738295,10.3,166.6,0.13745498199279715,1.911111111111111,0.5232558139534884,0.5232558139534884,1.1111111111111112,1.911111111111111,1,1,1,1,0.02701080432172869,3.1,0.05162064825930372,3.7,1.4000000000000004,0.02160864345738295,0.13745498199279715,1.911111111111111,0.5232558139534884,0.5232558139534884,1.1111111111111112,1.911111111111111,BB&T Corporation,2015,Supervisory Adverse,5.115595729732743,2.2617630984737906,1.7047480922384253,0.05162064825930372,3.7,10.3,0.13745498199279715,0.5232558139534884,0.5232558139534884,1.1111111111111112
1074156,BB&T Corporation,2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,10.3,6.9,6.9,11.8,8.5,8.5,14.3,10.9,10.9,9.8,7,7,NA,NA,NA,166.6,188.3,7.7,5.3,7,3.1,9.1,-2.2,-1,NA,NA,NA,0,0,0,0,0,0,3.4000000000000004,3.4000000000000004,3.3000000000000007,3.3000000000000007,3.4000000000000004,3.4000000000000004,2.8000000000000007,2.8000000000000007,21.700000000000017,0.13025210084033623,0,7.7,0.9090909090909092,1.1818181818181817,-0.31428571428571433,1.1,1.1,0,0.04621848739495798,5.3,0.04201680672268908,3.1,3.4000000000000004,-0.01320528211284514,10.3,166.6,0.13025210084033623,0.9090909090909092,1.1,1.1,1.1818181818181817,0.9090909090909092,1,1,1,1,0.04621848739495798,5.3,0.04201680672268908,3.1,3.4000000000000004,-0.01320528211284514,0.13025210084033623,0.9090909090909092,1.1,1.1,1.1818181818181817,0.9090909090909092,BB&T Corporation,2015,Supervisory Severely Adverse,5.115595729732743,2.0794415416798357,2.163323025660538,0.04201680672268908,3.1,10.3,0.13025210084033623,1.1,1.1,1.1818181818181817
1078529,"BBVA Compass Bancshares, Inc.",2015,12/31/2015,DFAST 2016,2,Supervisory Adverse,10.7,9.1,9.1,11.1,9.4,9.4,13.7,11.5,11.5,9,7.5,7.5,NA,NA,NA,68.8,75,2,3.1,1.6,1.7,2,-0.4,-0.4,NA,NA,NA,0,0,0,0,0,0,1.5999999999999996,1.5999999999999996,1.6999999999999993,1.6999999999999993,2.1999999999999993,2.1999999999999993,1.5,1.5,6.200000000000003,0.09011627906976748,0,2,0.8,1,-0.25,1.25,1.25,0,0.02906976744186046,3.1,0.02325581395348837,1.7,1.5999999999999996,-0.00581395348837209,10.7,68.8,0.09011627906976748,0.8,1.25,1.25,1,0.8,1,1,1,1,0.02906976744186046,3.1,0.02325581395348837,1.7,1.5999999999999996,-0.00581395348837209,0.09011627906976748,0.8,1.25,1.25,1,0.8,"BBVA Compass Bancshares, Inc.",2015,Supervisory Adverse,4.231203744939298,0.9555114450274363,1.0986122886681098,0.02325581395348837,1.7,10.7,0.09011627906976748,1.25,1.25,1
1078529,"BBVA Compass Bancshares, Inc.",2015,12/31/2015,DFAST 2016,3,Supervisory Severely Adverse,10.7,6.5,6.5,11.1,6.8,6.8,13.7,9.3,9.3,9,5.4,5.4,NA,NA,NA,68.8,73.8,3.4,5.4,1.1,1.1,3.8,-2.8,-3,NA,NA,NA,0,0,0,0,0,0,4.199999999999999,4.199999999999999,4.3,4.3,4.399999999999999,4.399999999999999,3.5999999999999996,3.5999999999999996,5,0.07267441860465117,0,3.4,0.3235294117647059,1.1176470588235294,-2.545454545454545,3.0909090909090904,3.0909090909090904,0,0.04941860465116279,5.4,0.01598837209302325,1.1,4.199999999999999,-0.04069767441860465,10.7,68.8,0.07267441860465117,0.3235294117647059,3.0909090909090904,3.0909090909090904,1.1176470588235294,0.3235294117647059,1,1,1,1,0.04941860465116279,5.4,0.01598837209302325,1.1,4.199999999999999,-0.04069767441860465,0.07267441860465117,0.3235294117647059,3.0909090909090904,3.0909090909090904,1.1176470588235294,0.3235294117647059,"BBVA Compass Bancshares, Inc.",2015,Supervisory Severely Adverse,4.231203744939298,0.7419373447293773,1.4816045409242156,0.01598837209302325,1.1,10.7,0.07267441860465117,3.0909090909090904,3.0909090909090904,1.1176470588235294
