component,duplicated_key,bank_rssd_id,bank_name,exercise_year,scenario_code,scenario_label,key_count
credit_loss,FALSE,1068191,Huntington Bancshares Incorporated,2021,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1068191,Huntington Bancshares Incorporated,2023,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1068191,Huntington Bancshares Incorporated,2025,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1069778,"The PNC Financial Services Group, Inc.",2015,2,Supervisory Adverse,1
credit_loss,FALSE,1069778,"The PNC Financial Services Group, Inc.",2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1069778,"The PNC Financial Services Group, Inc.",2016,2,Supervisory Adverse,1
credit_loss,FALSE,1069778,"The PNC Financial Services Group, Inc.",2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1069778,"The PNC Financial Services Group, Inc.",2017,2,Supervisory Adverse,1
credit_loss,FALSE,1069778,"The PNC Financial Services Group, Inc.",2017,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1069778,"The PNC Financial Services Group, Inc.",2018,2,Supervisory Adverse,1
credit_loss,FALSE,1069778,"The PNC Financial Services Group, Inc.",2018,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1069778,"The PNC Financial Services Group, Inc.",2019,3,Supervisory Severely Adverse,1
credit_loss,TRUE,1069778,"The PNC Financial Services Group, Inc.",2020,3,Supervisory Severely Adverse,2
credit_loss,FALSE,1069778,"The PNC Financial Services Group, Inc.",2020,30,Supervisory Alternative Severe,1
credit_loss,FALSE,1069778,"The PNC Financial Services Group, Inc.",2021,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1069778,"The PNC Financial Services Group, Inc.",2022,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1069778,"The PNC Financial Services Group, Inc.",2023,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1069778,"The PNC Financial Services Group, Inc.",2024,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1069778,"The PNC Financial Services Group, Inc.",2025,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1070345,Fifth Third Bancorp,2015,2,Supervisory Adverse,1
credit_loss,FALSE,1070345,Fifth Third Bancorp,2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1070345,Fifth Third Bancorp,2016,2,Supervisory Adverse,1
credit_loss,FALSE,1070345,Fifth Third Bancorp,2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1070345,Fifth Third Bancorp,2017,2,Supervisory Adverse,1
credit_loss,FALSE,1070345,Fifth Third Bancorp,2017,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1070345,Fifth Third Bancorp,2019,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1070345,Fifth Third Bancorp,2020,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1070345,Fifth Third Bancorp,2020,30,Supervisory Alternative Severe,1
credit_loss,FALSE,1070345,Fifth Third Bancorp,2021,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1070345,Fifth Third Bancorp,2023,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1070345,Fifth Third Bancorp,2025,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1073757,Bank of America Corporation,2015,2,Supervisory Adverse,1
credit_loss,FALSE,1073757,Bank of America Corporation,2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1073757,Bank of America Corporation,2016,2,Supervisory Adverse,1
credit_loss,FALSE,1073757,Bank of America Corporation,2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1073757,Bank of America Corporation,2017,2,Supervisory Adverse,1
credit_loss,FALSE,1073757,Bank of America Corporation,2017,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1073757,Bank of America Corporation,2018,2,Supervisory Adverse,1
credit_loss,FALSE,1073757,Bank of America Corporation,2018,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1073757,Bank of America Corporation,2019,3,Supervisory Severely Adverse,1
credit_loss,TRUE,1073757,Bank of America Corporation,2020,3,Supervisory Severely Adverse,2
credit_loss,FALSE,1073757,Bank of America Corporation,2020,30,Supervisory Alternative Severe,1
credit_loss,FALSE,1073757,Bank of America Corporation,2021,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1073757,Bank of America Corporation,2022,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1073757,Bank of America Corporation,2023,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1073757,Bank of America Corporation,2024,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1073757,Bank of America Corporation,2025,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1074156,BB&T Corporation,2015,2,Supervisory Adverse,1
credit_loss,FALSE,1074156,BB&T Corporation,2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1074156,BB&T Corporation,2016,2,Supervisory Adverse,1
credit_loss,FALSE,1074156,BB&T Corporation,2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1074156,BB&T Corporation,2017,2,Supervisory Adverse,1
credit_loss,FALSE,1074156,BB&T Corporation,2017,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1074156,Truist Financial Corporation,2019,3,Supervisory Severely Adverse,1
credit_loss,TRUE,1074156,Truist Financial Corporation,2020,3,Supervisory Severely Adverse,2
credit_loss,FALSE,1074156,Truist Financial Corporation,2020,30,Supervisory Alternative Severe,1
credit_loss,FALSE,1074156,Truist Financial Corporation,2021,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1074156,Truist Financial Corporation,2022,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1074156,Truist Financial Corporation,2023,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1074156,Truist Financial Corporation,2024,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1074156,Truist Financial Corporation,2025,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1075612,"First Citizens Bancshares, Inc.",2025,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1078529,"BBVA Compass Bancshares, Inc.",2015,2,Supervisory Adverse,1
credit_loss,FALSE,1078529,"BBVA Compass Bancshares, Inc.",2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1078529,"BBVA Compass Bancshares, Inc.",2016,2,Supervisory Adverse,1
credit_loss,FALSE,1078529,"BBVA Compass Bancshares, Inc.",2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1078529,"BBVA Compass Bancshares, Inc.",2017,2,Supervisory Adverse,1
credit_loss,FALSE,1078529,"BBVA Compass Bancshares, Inc.",2017,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1111435,State Street Corporation,2015,2,Supervisory Adverse,1
credit_loss,FALSE,1111435,State Street Corporation,2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1111435,State Street Corporation,2016,2,Supervisory Adverse,1
credit_loss,FALSE,1111435,State Street Corporation,2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1111435,State Street Corporation,2017,2,Supervisory Adverse,1
credit_loss,FALSE,1111435,State Street Corporation,2017,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1111435,State Street Corporation,2018,2,Supervisory Adverse,1
credit_loss,FALSE,1111435,State Street Corporation,2018,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1111435,State Street Corporation,2019,3,Supervisory Severely Adverse,1
credit_loss,TRUE,1111435,State Street Corporation,2020,3,Supervisory Severely Adverse,2
credit_loss,FALSE,1111435,State Street Corporation,2020,30,Supervisory Alternative Severe,1
credit_loss,FALSE,1111435,State Street Corporation,2021,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1111435,State Street Corporation,2022,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1111435,State Street Corporation,2023,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1111435,State Street Corporation,2024,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1111435,State Street Corporation,2025,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1119794,U.S. Bancorp,2015,2,Supervisory Adverse,1
credit_loss,FALSE,1119794,U.S. Bancorp,2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1119794,U.S. Bancorp,2016,2,Supervisory Adverse,1
credit_loss,FALSE,1119794,U.S. Bancorp,2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1119794,U.S. Bancorp,2017,2,Supervisory Adverse,1
credit_loss,FALSE,1119794,U.S. Bancorp,2017,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1119794,U.S. Bancorp,2018,2,Supervisory Adverse,1
credit_loss,FALSE,1119794,U.S. Bancorp,2018,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1119794,U.S. Bancorp,2019,3,Supervisory Severely Adverse,1
credit_loss,TRUE,1119794,U.S. Bancorp,2020,3,Supervisory Severely Adverse,2
credit_loss,FALSE,1119794,U.S. Bancorp,2020,30,Supervisory Alternative Severe,1
credit_loss,FALSE,1119794,U.S. Bancorp,2021,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1119794,U.S. Bancorp,2022,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1119794,U.S. Bancorp,2023,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1119794,U.S. Bancorp,2024,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1119794,U.S. Bancorp,2025,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1120754,Wells Fargo & Company,2015,2,Supervisory Adverse,1
credit_loss,FALSE,1120754,Wells Fargo & Company,2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1120754,Wells Fargo & Company,2016,2,Supervisory Adverse,1
credit_loss,FALSE,1120754,Wells Fargo & Company,2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1120754,Wells Fargo & Company,2017,2,Supervisory Adverse,1
credit_loss,FALSE,1120754,Wells Fargo & Company,2017,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1120754,Wells Fargo & Company,2018,2,Supervisory Adverse,1
credit_loss,FALSE,1120754,Wells Fargo & Company,2018,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1120754,Wells Fargo & Company,2019,3,Supervisory Severely Adverse,1
credit_loss,TRUE,1120754,Wells Fargo & Company,2020,3,Supervisory Severely Adverse,2
credit_loss,FALSE,1120754,Wells Fargo & Company,2020,30,Supervisory Alternative Severe,1
credit_loss,FALSE,1120754,Wells Fargo & Company,2021,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1120754,Wells Fargo & Company,2022,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1120754,Wells Fargo & Company,2023,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1120754,Wells Fargo & Company,2024,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1120754,Wells Fargo & Company,2025,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1131787,"SunTrust Banks, Inc.",2015,2,Supervisory Adverse,1
credit_loss,FALSE,1131787,"SunTrust Banks, Inc.",2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1131787,"SunTrust Banks, Inc.",2016,2,Supervisory Adverse,1
credit_loss,FALSE,1131787,"SunTrust Banks, Inc.",2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1131787,"SunTrust Banks, Inc.",2017,2,Supervisory Adverse,1
credit_loss,FALSE,1131787,"SunTrust Banks, Inc.",2017,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1132449,"Citizens Financial Group, Inc.",2015,2,Supervisory Adverse,1
credit_loss,FALSE,1132449,"Citizens Financial Group, Inc.",2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1132449,"Citizens Financial Group, Inc.",2016,2,Supervisory Adverse,1
credit_loss,FALSE,1132449,"Citizens Financial Group, Inc.",2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1132449,"Citizens Financial Group, Inc.",2017,2,Supervisory Adverse,1
credit_loss,FALSE,1132449,"Citizens Financial Group, Inc.",2017,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1132449,"Citizens Financial Group, Inc.",2019,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1132449,"Citizens Financial Group, Inc.",2020,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1132449,"Citizens Financial Group, Inc.",2020,30,Supervisory Alternative Severe,1
credit_loss,FALSE,1132449,"Citizens Financial Group, Inc.",2021,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1132449,"Citizens Financial Group, Inc.",2022,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1132449,"Citizens Financial Group, Inc.",2023,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1132449,"Citizens Financial Group, Inc.",2025,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1199611,Northern Trust Corporation,2015,2,Supervisory Adverse,1
credit_loss,FALSE,1199611,Northern Trust Corporation,2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1199611,Northern Trust Corporation,2016,2,Supervisory Adverse,1
credit_loss,FALSE,1199611,Northern Trust Corporation,2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1199611,Northern Trust Corporation,2017,2,Supervisory Adverse,1
credit_loss,FALSE,1199611,Northern Trust Corporation,2017,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1199611,Northern Trust Corporation,2018,2,Supervisory Adverse,1
credit_loss,FALSE,1199611,Northern Trust Corporation,2018,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1199611,Northern Trust Corporation,2019,3,Supervisory Severely Adverse,1
credit_loss,TRUE,1199611,Northern Trust Corporation,2020,3,Supervisory Severely Adverse,2
credit_loss,FALSE,1199611,Northern Trust Corporation,2020,30,Supervisory Alternative Severe,1
credit_loss,FALSE,1199611,Northern Trust Corporation,2021,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1199611,Northern Trust Corporation,2022,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1199611,Northern Trust Corporation,2023,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1199611,Northern Trust Corporation,2024,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1199611,Northern Trust Corporation,2025,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1199844,Comerica Incorporated,2015,2,Supervisory Adverse,1
credit_loss,FALSE,1199844,Comerica Incorporated,2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1199844,Comerica Incorporated,2016,2,Supervisory Adverse,1
credit_loss,FALSE,1199844,Comerica Incorporated,2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1245415,BMO Financial Corp.,2015,2,Supervisory Adverse,1
credit_loss,FALSE,1245415,BMO Financial Corp.,2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1245415,BMO Financial Corp.,2016,2,Supervisory Adverse,1
credit_loss,FALSE,1245415,BMO Financial Corp.,2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1245415,BMO Financial Corp.,2017,2,Supervisory Adverse,1
credit_loss,FALSE,1245415,BMO Financial Corp.,2017,3,Supervisory Severely Adverse,1
