model_name,scenario_effect,estimate,std.error,statistic,p.value,significant_10pct,significant_5pct,significant_1pct
M1_scenario_only,Supervisory Alternative Severe,1.3484008538899332,0.36394062670099475,3.7050022859848193,2.341676638338284e-4,TRUE,TRUE,TRUE
M1_scenario_only,Supervisory Severely Adverse,1.417851942612712,0.1956164183955144,7.248123415417896,1.5483204195580561e-12,TRUE,TRUE,TRUE
M2_losses_ppnr,Supervisory Alternative Severe,0.5774635265461603,0.34687768897804655,1.6647468110372103,0.09657149835692018,TRUE,FALSE,FALSE
M2_losses_ppnr,Supervisory Severely Adverse,0.9344325622454729,0.1926433557386144,4.850582874570278,1.6333073494702045e-6,TRUE,TRUE,TRUE
M3_structural_controls,Supervisory Alternative Severe,0.36467779903139563,0.3436444908650725,1.0612065920608098,0.28909536447453626,FALSE,FALSE,FALSE
M3_structural_controls,Supervisory Severely Adverse,0.7589344172289418,0.20367740952813188,3.726159022678055,2.1601548108411873e-4,TRUE,TRUE,TRUE
M4_year_fixed_effects,Supervisory Alternative Severe,1.0992958457115884,0.3626512229062491,3.031275716932501,0.002560738724545383,TRUE,TRUE,TRUE
M4_year_fixed_effects,Supervisory Severely Adverse,1.0633740053912843,0.1950580502293001,5.45157712866112,7.835663403052053e-8,TRUE,TRUE,TRUE
M5_bank_fixed_effects,Supervisory Alternative Severe,0.7572416605056757,0.25071991441018326,3.020269300454577,0.0026667145534983003,TRUE,TRUE,TRUE
M5_bank_fixed_effects,Supervisory Severely Adverse,1.048533627993144,0.16395649604818774,6.395194172025817,3.961175741678052e-10,TRUE,TRUE,TRUE
M6_bank_year_fixed_effects,Supervisory Alternative Severe,0.8026946060431367,0.24891382368119844,3.2247891827462523,0.0013528714468806625,TRUE,TRUE,TRUE
M6_bank_year_fixed_effects,Supervisory Severely Adverse,0.7328782842626032,0.15825845348393408,4.630895020953827,4.7775746623517715e-6,TRUE,TRUE,TRUE
M7_log_amounts_bank_year_fixed_effects,Supervisory Alternative Severe,0.7789021239555657,0.25533483873163554,3.0505125263153565,0.0024200949132052616,TRUE,TRUE,TRUE
M7_log_amounts_bank_year_fixed_effects,Supervisory Severely Adverse,0.7055835686704142,0.16795771035354587,4.200959677201971,3.2085768295786923e-5,TRUE,TRUE,TRUE
