model_name,term,estimate,std.error,statistic,p.value,significant_10pct,significant_5pct,significant_1pct
M2_losses_ppnr,x_credit_loss_ratio_model,16.735661888571915,3.6510727723772765,4.583765630525912,5.737895034443889e-6,TRUE,TRUE,TRUE
M2_losses_ppnr,x_ppnr_ratio_model,-32.15634321113949,3.0587917237365776,-10.512759976955133,1.5030959158017373e-23,TRUE,TRUE,TRUE
M3_structural_controls,x_credit_loss_ratio_model,26.749836241626316,3.3684233982548677,7.941352104217369,1.2721990977778414e-14,TRUE,TRUE,TRUE
M3_structural_controls,x_initial_cet1_model,0.15761271377199404,0.013776344675761594,11.44082247370751,3.7485571304203676e-27,TRUE,TRUE,TRUE
M3_structural_controls,x_ppnr_ratio_model,-36.05674938705915,2.76209287161244,-13.05414085009029,7.852465722394573e-34,TRUE,TRUE,TRUE
M3_structural_controls,x_rwa_growth_model,0.9752681003483662,1.4913916920009715,0.6539315631025594,0.5134489188849514,FALSE,FALSE,FALSE
M4_year_fixed_effects,x_credit_loss_ratio_model,29.475848235792977,3.1780356892142736,9.274863821016586,5.246573023091229e-19,TRUE,TRUE,TRUE
M4_year_fixed_effects,x_initial_cet1_model,0.14008562583683418,0.013033478262080648,10.748138219127323,2.1382627544281224e-24,TRUE,TRUE,TRUE
M4_year_fixed_effects,x_ppnr_ratio_model,-34.4485663387986,2.613255675868688,-13.182241086053452,2.703274776509734e-34,TRUE,TRUE,TRUE
M4_year_fixed_effects,x_rwa_growth_model,-13.044218625829759,2.2112091202054707,-5.899133875052786,6.715454954316813e-9,TRUE,TRUE,TRUE
M5_bank_fixed_effects,x_credit_loss_ratio_model,44.41398702555786,6.238932261921642,7.118844244652528,4.233506446309857e-12,TRUE,TRUE,TRUE
M5_bank_fixed_effects,x_initial_cet1_model,0.11029907551819251,0.022753289702496425,4.847610036191418,1.714149604506805e-6,TRUE,TRUE,TRUE
M5_bank_fixed_effects,x_ppnr_ratio_model,-39.21504269375483,4.025795654730225,-9.740942178145078,1.675695273180166e-20,TRUE,TRUE,TRUE
M5_bank_fixed_effects,x_rwa_growth_model,11.268571275585568,1.1901457280308458,9.468228142304866,1.5171336471051503e-19,TRUE,TRUE,TRUE
M6_bank_year_fixed_effects,x_credit_loss_ratio_model,63.10747762295915,6.1150141857421785,10.320086872423143,1.5203748700759368e-22,TRUE,TRUE,TRUE
M6_bank_year_fixed_effects,x_initial_cet1_model,0.10371243822041261,0.020813971112282403,4.9828280082127865,8.966675945073601e-7,TRUE,TRUE,TRUE
M6_bank_year_fixed_effects,x_ppnr_ratio_model,-35.69243497844677,3.9495680030606986,-9.037047836823442,4.85609333280317e-18,TRUE,TRUE,TRUE
M6_bank_year_fixed_effects,x_rwa_growth_model,-4.743818619407589,2.009011541836873,-2.3612699681507237,0.018639648995588263,TRUE,TRUE,FALSE
M7_log_amounts_bank_year_fixed_effects,log_ppnr_amount,-1.9960241542960475,0.16813275202095043,-11.871715238725944,1.8806864553804113e-28,TRUE,TRUE,TRUE
M7_log_amounts_bank_year_fixed_effects,log_total_loan_losses,2.7230473235656563,0.30118299731137865,9.041172137451133,4.703604844890439e-18,TRUE,TRUE,TRUE
M7_log_amounts_bank_year_fixed_effects,x_initial_cet1_model,0.10155933585661034,0.020518315654569127,4.949691659217387,1.0541942098485013e-6,TRUE,TRUE,TRUE
M7_log_amounts_bank_year_fixed_effects,x_rwa_growth_model,-2.4280637603258306,1.9673069442529263,-1.2342068772841515,0.21777284832230134,FALSE,FALSE,FALSE
